# format: x, y, z, (trackId)+
412.928, -41.0995, 1166.29, 6199
414.25, -24.6741, 1347.47, 6199
414.962, -6.68447, 1530.45, 6199
372.498, 182.867, 1305.2, 6617
353.182, 217.858, 1369.53, 6772
191.684, 368.054, 238.831, 421
185.484, 371.222, 451.539, 511
56.6791, 411.075, 1298.16, 6589
46.1139, 412.401, 1294.15, 6589
49.1135, 412.086, 1636.78, 5612
28.1683, 414.006, 159.314, 398
-9.21103, 414.894, 77.4106, 455
-13.4355, 414.746, 1604.38, 5609
-22.7436, 414.385, 1091.22, 7087
-163.079, 381.626, 628.87, 627
-163.883, 381.268, 1029.8, 5199
-176.879, 375.419, 630.373, 627
-193.961, 366.843, 1266.28, 5387
-197.556, 364.932, 866.473, 497
-203.16, 361.863, 912.833, 497
-226.338, 347.869, 655.959, 628
-228.593, 346.348, 201.933, 5222
-230.903, 344.789, 370.066, 5222
-237.825, 340.132, 120.746, 450
-243.879, 335.734, 1135.84, 4750
-329.903, 251.754, 1533.88, 5894
-338.956, 239.444, 763.327, 7302
-364.306, 198.733, 1444.39, 7612
-368.071, 191.653, 1120.46, 6447
-369.692, 188.619, 814.547, 624
-412.245, 47.5994, 834.27, 5567
-413.874, 30.0595, 1142.74, 409
-414.712, -14.4173, 698.46, 6556
-413.857, -30.2986, 127.399, 304
-413.281, -37.7437, 690.367, 6849
-365.043, -197.346, 344.085, 1258
-362.66, -201.779, 834.938, 4745
-354.378, -215.945, 306.876, 424
-337.345, -241.661, 139.404, 508
-335.991, -243.524, 381.992, 1257
-331.312, -249.951, 900.103, 7702
-253.409, -328.61, 430.511, 1259
-219.788, -351.976, 1200.02, 5572
-204.514, -361.081, 259.156, 431
-175.071, -376.286, 869.951, 5181
-173.632, -376.927, 650.028, 434
-162.54, -381.866, 245.972, 519
39.4878, -413.098, 1550.03, 501
46.179, -412.395, 1489.7, 6556
42.5883, -412.772, 1580.02, 501
162.205, -382.015, 1415, 5282
164.311, -381.077, 1144.57, 4744
173.713, -376.891, 1576.45, 5088
200.566, -363.331, 1425.31, 5421
240.995, -337.829, 185.996, 415
252.872, -329.03, 1568.63, 519
335.145, -244.688, 1631.45, 6199
336.155, -243.299, 834.843, 519
345.806, -229.395, 1381.19, 6199
346.307, -228.653, 1166.57, 1189
354.296, -216.075, 1347, 5444
360.23, -205.989, 317.556, 519
363.04, -201.114, 657.782, 508
373.945, -179.901, 1129.64, 6199
377.538, -172.26, 776.729, 6199
377.518, -172.304, 1484.06, 6199
376.667, -174.215, 1302.14, 6199
379.929, -166.89, 952.813, 6199
379.32, -168.258, 625.111, 6199
383.874, -157.608, 532.919, 6199
384.218, -156.756, 399.818, 6199
383.003, -159.764, 456.354, 6199
414.386, -22.7364, -1243.03, 468
414.525, -19.769, -1223.8, 468
414.962, 1.24977, -1593.94, 3747
412.233, 47.7134, -1372.18, 1710
383.955, 157.406, -80.9443, 507
367.054, 193.564, -631.519, 493
359.374, 207.47, -88.283, 457
345.857, 229.32, -881.132, 1989
342.93, 233.66, -1194.97, 499
339.165, 239.155, -1207.53, 499
225.274, 348.548, -218.607, 447
212.872, 356.256, -292.209, 397
204.102, 361.319, -1618.75, 5009
174.148, 376.697, -978.099, 453
169.23, 378.887, -966.09, 453
27.6715, 414.041, -1594.78, 4424
-223.603, 349.592, -1537.78, 4424
-229.861, 345.492, -1536.54, 4424
-232.692, 343.582, -1139.43, 926
-237.986, 340.015, -652.922, 509
-250.572, 330.827, -1196.38, 926
-355.884, 213.516, -1224.45, 4566
-359.871, 206.61, -807.263, 3712
-365.814, 195.896, -1460.74, 4366
-371.487, 184.939, -853.863, 408
-383.639, 158.188, -473.095, 463
-411.01, 57.1383, -799.721, 403
-414.446, 22.0287, -1621.47, 4618
-413.644, -33.3477, -1339.74, 3404
-382.285, -161.539, -1332.66, 454
-382.557, -160.867, -1309.95, 454
-379.716, -167.367, -1530.74, 2184
-360.135, -206.153, -953.981, 481
-353.347, -217.594, -1594.63, 3441
-350.471, -222.196, -666.311, 2572
-349.164, -224.288, -178.395, 422
-329.179, -252.681, -92.9811, 474
-208.363, -358.859, -1249.41, 2925
-200.562, -363.333, -624.216, 1366
-199.049, -364.138, -1567.19, 3324
-43.8509, -412.639, -179.971, 435
7.78713, -414.944, -1400.92, 2184
55.9371, -411.179, -1485.16, 270
54.5326, -411.377, -1462.84, 270
165.063, -380.742, -722.104, 264
171.731, -377.773, -714.085, 264
184.052, -371.92, -332.87, 807
254.518, -327.743, -1177.23, 428
254.521, -327.742, -1154.79, 428
327.455, -254.888, -1058.53, 4460
327.37, -254.996, -956.23, 3665
328.165, -253.979, -378.111, 2130
354.945, -215.036, -471.626, 4434
357.782, -210.228, -1637.3, 2448
380.861, -164.795, -94.4996, 462
411.054, -82.5648, 543.782, 6199
412.752, -73.4616, 463.144, 6199
412.367, -75.6431, 982.88, 6199
412.892, -72.6663, 805.434, 6199
412.53, -74.7182, 408.467, 6199
413.464, -69.422, 649.95, 6199
415.112, 58.6739, 1240.22, 5372
325.639, 264.136, 1393.54, 5601
260.016, 328.873, 1524.82, 7298
-148.99, 391.915, 627.355, 627
-258.391, 330.142, 661.067, 623
-396.717, 135.711, 370.47, 835
-414.457, -63.3338, 1075.92, 6589
-411.855, -78.5471, 1070.81, 6589
-316.709, -274.779, 1440.48, 7183
-269.631, -321.029, 1160.46, 5592
-136.128, -396.582, 805.707, 4986
59.3239, -415.02, 650.104, 459
72.5241, -412.917, 919.034, 7299
134.706, -397.044, 463.205, 427
262.744, -326.742, 156.799, 460
325.458, -264.352, 1553.36, 4813
391.341, -150.569, 115.957, 6199
396.73, -135.67, 125.611, 6199
389.584, 154.886, -64.5492, 507
151.914, 390.785, -1401.81, 1709
143.424, 393.941, -69.2737, 394
77.5755, 412.026, -769.387, 3063
69.73, 413.41, -1503.13, 86
-64.8463, 414.244, -732.383, 452
-145.909, 393.037, -10.3047, 3668
-268.226, 322.207, -1253.51, 926
-323.285, 266.942, -1186.87, 4307
-413.84, 67.2913, -414.916, 1365
-397.073, -134.615, -1170.34, 807
-395.786, -138.357, -726.311, 488
-391.51, -150.118, -121.511, 416
-319.487, -271.467, -1086.96, 3661
-69.26, -413.492, -394.614, 420
60.0475, -414.918, -795.499, 3436
67.4885, -413.805, -1069.92, 3471
81.7649, -411.224, -574.546, 487
396.206, -137.202, -1141.2, 6199
396.894, -135.166, -813.84, 6199
412.217, -97.3048, 149.533, 6199
423.125, -18.4872, 1350.67, 6199
423.513, -1.32871, 1532.76, 6199
