#format: eventNumber, prototrackIndex, nMeasurements, nStates, nOutliers, nHoles, nSharedHits, chi2PerNDF, pT, eta, duplicate, fake
2, 0, 42, 185, 23, 120, 0, 2.33881, 0.1782, 0.41346, 1, 0
2, 1, 45, 177, 17, 115, 0, 2.31466, 0.179189, 0.415426, 1, 0
2, 2, 43, 183, 21, 119, 0, 1.99297, 0.177907, 0.413473, 1, 0
2, 3, 41, 179, 21, 117, 0, 2.4505, 0.177893, 0.41363, 1, 0
2, 4, 43, 174, 18, 113, 0, 2.08762, 0.177115, 0.414496, 1, 0
2, 5, 51, 181, 7, 123, 0, 1.87683, 0.241633, -0.168171, 1, 0
2, 6, 50, 181, 7, 124, 0, 3.278, 0.243559, -0.168218, 1, 0
2, 7, 49, 177, 8, 120, 0, 0.90508, 0.238507, -0.168476, 1, 0
2, 8, 49, 177, 8, 120, 0, 0.921816, 0.238865, -0.168449, 1, 0
2, 9, 49, 178, 8, 121, 0, 0.918718, 0.239153, -0.168466, 1, 0
2, 10, 50, 178, 7, 121, 0, 1.7669, 0.242077, -0.168454, 1, 0
2, 11, 47, 172, 8, 117, 0, 0.957606, 0.238049, -0.16868, 1, 0
2, 12, 47, 172, 8, 117, 0, 0.930827, 0.238858, -0.168726, 1, 0
2, 13, 47, 169, 6, 116, 0, 0.983816, 0.239555, -0.168708, 1, 0
2, 14, 49, 175, 7, 119, 0, 1.53715, 0.242782, -0.16858, 1, 0
2, 15, 47, 172, 8, 117, 0, 0.936884, 0.239324, -0.168691, 1, 0
2, 16, 48, 172, 6, 118, 0, 1.2127, 0.240867, -0.168662, 1, 0
2, 17, 48, 172, 7, 117, 0, 1.98388, 0.243175, -0.168677, 1, 0
2, 18, 48, 171, 7, 116, 0, 2.14434, 0.243498, -0.168689, 1, 0
2, 19, 45, 164, 6, 113, 0, 1.03286, 0.239789, -0.168142, 1, 0
2, 20, 46, 165, 6, 113, 0, 1.25295, 0.239663, -0.16928, 1, 0
2, 21, 44, 160, 6, 110, 0, 1.2967, 0.241571, -0.168236, 1, 0
2, 22, 45, 166, 8, 113, 0, 0.964774, 0.235888, -0.167992, 1, 0
2, 23, 41, 161, 9, 111, 0, 1.99477, 0.231716, -0.168342, 1, 0
2, 24, 41, 161, 9, 111, 0, 2.62168, 0.230411, -0.168266, 1, 0
2, 25, 46, 166, 8, 112, 0, 0.917854, 0.238076, -0.167924, 1, 0
2, 26, 43, 161, 8, 110, 0, 1.0804, 0.235866, -0.168306, 1, 0
2, 27, 43, 161, 8, 110, 0, 0.950458, 0.236833, -0.168312, 1, 0
2, 28, 40, 152, 7, 105, 0, 0.937324, 0.23961, -0.168698, 1, 0
2, 29, 44, 163, 8, 111, 0, 1.20957, 0.235064, -0.168213, 1, 0
2, 30, 42, 158, 8, 108, 0, 1.35555, 0.234228, -0.168886, 1, 0
2, 31, 42, 158, 8, 108, 0, 0.884095, 0.238411, -0.168904, 1, 0
2, 32, 43, 161, 8, 110, 0, 0.879868, 0.239409, -0.168333, 1, 0
2, 33, 41, 154, 8, 105, 0, 0.877729, 0.238012, -0.168544, 1, 0
2, 34, 41, 153, 6, 106, 0, 1.18565, 0.241225, -0.16855, 1, 0
2, 35, 43, 157, 6, 108, 0, 1.33127, 0.241875, -0.168789, 1, 0
2, 36, 42, 158, 8, 108, 0, 1.22188, 0.234628, -0.168897, 1, 0
2, 37, 42, 155, 6, 107, 0, 1.17268, 0.241523, -0.168406, 1, 0
2, 38, 41, 153, 8, 104, 0, 1.2026, 0.233937, -0.168492, 1, 0
2, 39, 39, 153, 8, 106, 0, 1.45688, 0.232383, -0.168531, 1, 0
2, 40, 38, 145, 6, 101, 0, 1.00754, 0.23997, -0.169016, 1, 0
2, 41, 40, 152, 6, 106, 0, 1.04713, 0.241042, -0.168672, 1, 0
2, 42, 39, 149, 6, 104, 0, 1.1135, 0.241276, -0.16831, 1, 0
2, 43, 35, 136, 8, 93, 0, 1.47826, 0.233898, -0.168168, 1, 0
2, 44, 35, 136, 8, 93, 0, 1.54958, 0.23364, -0.16814, 1, 0
2, 45, 34, 133, 8, 91, 0, 1.3169, 0.233043, -0.167845, 1, 0
2, 46, 30, 125, 6, 89, 0, 3.63219, 0.254268, -0.1695, 1, 0
2, 47, 12, 58, 2, 44, 0, 2.29673, 0.119, -0.00663713, 1, 0
2, 48, 17, 86, 11, 58, 0, 1.83267, 0.113815, -0.00332442, 1, 0
2, 49, 47, 176, 18, 111, 0, 1.71659, 0.282383, 0.612635, 0, 0
2, 50, 47, 176, 19, 110, 0, 2.83929, 0.275254, 0.610797, 1, 0
2, 51, 43, 178, 22, 113, 0, 2.23874, 0.289199, 0.611994, 1, 0
2, 52, 47, 178, 18, 113, 0, 1.79321, 0.281482, 0.612603, 1, 0
2, 53, 47, 178, 18, 113, 0, 2.17073, 0.279576, 0.612616, 1, 0
2, 54, 41, 164, 19, 104, 0, 1.3833, 0.285788, 0.612319, 1, 0
2, 55, 46, 170, 17, 107, 0, 2.40798, 0.278679, 0.611956, 1, 0
2, 56, 46, 171, 18, 107, 0, 2.72585, 0.276625, 0.612259, 1, 0
2, 57, 44, 174, 18, 112, 0, 2.28595, 0.178321, 0.414721, 1, 0
2, 58, 41, 177, 21, 115, 0, 2.25169, 0.178848, 0.414545, 1, 0
2, 59, 45, 177, 17, 115, 0, 2.59199, 0.177844, 0.414503, 1, 0
2, 60, 31, 126, 17, 78, 0, 2.48017, 0.196048, 0.411764, 1, 0
2, 61, 40, 174, 21, 113, 0, 1.89291, 0.17758, 0.413786, 1, 0
2, 62, 45, 177, 18, 114, 0, 2.37552, 0.178728, 0.415383, 1, 0
2, 63, 42, 172, 18, 112, 0, 1.97867, 0.176929, 0.415136, 1, 0
2, 64, 30, 133, 17, 86, 0, 2.293, 0.189405, 0.411007, 1, 0
2, 65, 38, 165, 20, 107, 0, 1.95911, 0.178058, 0.414228, 1, 0
