# format: trackId, is-primary, nHits, pt, eta, pdg, q
0, 1, 0, 0.142104, 3.83839, 2212, 3.000000
1, 1, 0, 0.064529, 4.90965, 2212, 3.000000
2, 1, 0, 0.736596, 2.03415, 2212, 3.000000
3, 1, 0, 0.103012, 4.41387, 2212, 3.000000
4, 1, 0, 0.726948, -1.25822, 2112, 0.000000
5, 1, 0, 0.175098, 3.46896, 2212, 3.000000
6, 1, 0, 0.165873, 3.72504, 2212, 3.000000
7, 1, 0, 0.167357, 3.63831, 2212, 3.000000
8, 1, 0, 0.148928, 3.74321, 2212, 3.000000
9, 1, 0, 0.214404, 3.4868, 2212, 3.000000
10, 1, 0, 0.107244, 3.9506, 2212, 3.000000
11, 1, 0, 0.155368, 3.80194, 2212, 3.000000
12, 1, 0, 0.159303, 3.74881, 2212, 3.000000
13, 1, 0, 0.126482, 3.86819, 2212, 3.000000
14, 1, 0, 0.188493, 3.69374, 2212, 3.000000
15, 1, 0, 0.0367873, 5.34667, 2212, 3.000000
16, 1, 0, 0.0994812, 4.22433, 2212, 3.000000
17, 1, 0, 0.0795879, 4.20785, 2212, 3.000000
18, 1, 0, 0.0915569, 4.40083, 2212, 3.000000
19, 1, 0, 0.226632, 3.71108, 2212, 3.000000
20, 1, 0, 0.324488, 2.25381, 2112, 0.000000
21, 1, 0, 0.156256, 3.63699, 2212, 3.000000
22, 1, 0, 0.159776, 3.58599, 2212, 3.000000
23, 1, 0, 0.0220042, 5.76255, 2212, 3.000000
24, 1, 0, 0.264144, 3.03842, 2212, 3.000000
25, 1, 0, 0.0895766, 4.34102, 2212, 3.000000
26, 1, 0, 0.117667, 4.23227, 2212, 3.000000
27, 1, 0, 0.136101, 3.89709, 2212, 3.000000
28, 1, 0, 0.574021, 2.2517, 2212, 3.000000
29, 1, 0, 0.175699, 3.57413, 2212, 3.000000
30, 1, 0, 0.254005, 3.29771, 2212, 3.000000
31, 1, 0, 0.304437, 2.82963, 2112, 0.000000
32, 1, 0, 0.176376, 3.61415, 2212, 3.000000
33, 1, 0, 0.144573, 3.68832, 2212, 3.000000
34, 1, 0, 0.110582, 4.15023, 2212, 3.000000
35, 1, 0, 0.328456, 2.61075, 2212, 3.000000
36, 1, 0, 0.163445, 3.8966, 2212, 3.000000
37, 1, 0, 0.079292, 4.66192, 2212, 3.000000
38, 1, 0, 0.0614124, 4.87702, 2212, 3.000000
39, 1, 0, 0.0768495, 4.63806, 2212, 3.000000
40, 1, 0, 0.0940677, 4.09776, 2212, 3.000000
41, 1, 0, 0.406121, 3.24869, 2212, 3.000000
42, 1, 0, 0.166935, 3.9275, 2212, 3.000000
43, 1, 0, 0.144302, 3.81893, 2212, 3.000000
44, 1, 0, 0.131831, 3.80036, 2212, 3.000000
45, 1, 0, 0.287186, 2.64111, 2212, 3.000000
46, 1, 0, 0.174114, 3.44039, 2212, 3.000000
47, 1, 0, 0.134592, 4.03199, 2212, 3.000000
48, 1, 0, 0.193775, 3.58116, 2212, 3.000000
49, 1, 0, 0.0781233, 4.69249, 2212, 3.000000
50, 1, 0, 0.119014, 3.91919, 2212, 3.000000
51, 1, 0, 0.18543, 3.57683, 2212, 3.000000
52, 1, 0, 0.161523, 3.66987, 2212, 3.000000
53, 1, 0, 0.211456, 3.5327, 2212, 3.000000
54, 1, 0, 0.121866, 3.92533, 2212, 3.000000
55, 1, 0, 0.155248, 3.88455, 2212, 3.000000
56, 1, 0, 0.139502, 3.93742, 2212, 3.000000
57, 1, 0, 0.121957, 4.15478, 2212, 3.000000
58, 1, 0, 0.126376, 4.05207, 2212, 3.000000
59, 1, 0, 0.203864, 3.50701, 2212, 3.000000
60, 1, 0, 0.107059, 3.90245, 2212, 3.000000
61, 1, 0, 0.124397, 3.85879, 2212, 3.000000
62, 1, 0, 0.290323, 3.21989, 2212, 3.000000
63, 1, 0, 0.134591, 3.71056, 2212, 3.000000
64, 1, 0, 0.139699, 3.9018, 2212, 3.000000
65, 1, 0, 0.0524967, 4.7606, 2212, 3.000000
66, 1, 0, 0.222196, 3.29797, 2212, 3.000000
67, 1, 0, 1.46555, 1.89947, 2112, 0.000000
68, 1, 0, 0.0347574, 5.18342, 2212, 3.000000
69, 1, 0, 0.71062, 2.08446, 2212, 3.000000
70, 1, 0, 0.22066, 3.28521, 2212, 3.000000
71, 1, 0, 0.220367, 3.35587, 2212, 3.000000
72, 1, 0, 0.211694, 3.64965, 2212, 3.000000
73, 1, 0, 0.411646, 2.8144, 2212, 3.000000
74, 1, 0, 0.18311, 3.49152, 2212, 3.000000
75, 1, 0, 0.0959201, 4.16537, 2212, 3.000000
76, 1, 0, 0.231626, 3.37573, 2212, 3.000000
77, 1, 0, 0.274101, 3.22279, 2212, 3.000000
78, 1, 0, 0.162356, 3.5985, 2212, 3.000000
79, 1, 0, 0.126933, 3.82703, 2112, 0.000000
80, 1, 0, 0.160975, 3.67001, 2112, 0.000000
81, 1, 0, 0.149291, 4.11699, 2112, 0.000000
82, 1, 0, 0.699811, 0.357505, 2112, 0.000000
83, 1, 53, 0.578715, -0.250263, 2212, 3.000000
84, 1, 0, 0.272542, 3.24564, 2112, 0.000000
85, 1, 0, 0.212316, 3.68873, 2112, 0.000000
86, 1, 3, 0.19007, -2.01606, 2212, 3.000000
87, 1, 0, 0.199828, 3.46916, 2112, 0.000000
88, 1, 0, 0.200374, 3.53503, 2112, 0.000000
89, 1, 0, 0.112644, 3.94921, 2112, 0.000000
90, 1, 0, 0.134976, 3.97615, 2112, 0.000000
91, 1, 0, 0.0835235, 4.23091, 2112, 0.000000
92, 1, 0, 0.107304, 4.08542, 2112, 0.000000
93, 1, 0, 0.217808, 3.71861, 2112, 0.000000
94, 1, 0, 0.257672, 3.18939, 2112, 0.000000
95, 1, 0, 0.156529, 3.97014, 2112, 0.000000
96, 1, 0, 0.110597, 4.33526, 2112, 0.000000
97, 1, 0, 0.200725, 2.5603, 2112, 0.000000
98, 1, 0, 0.0688081, 4.72082, 2212, 3.000000
99, 1, 0, 0.16267, 3.75999, 2112, 0.000000
100, 1, 0, 0.267423, 3.19041, 2112, 0.000000
101, 1, 0, 0.189023, 3.53767, 2112, 0.000000
102, 1, 0, 0.177863, 3.58697, 2112, 0.000000
103, 1, 0, 0.553914, 1.9756, 2112, 0.000000
104, 1, 0, 0.0826424, 4.43171, 2112, 0.000000
105, 1, 0, 0.104945, 3.30266, 2112, 0.000000
106, 1, 0, 0.252656, -3.2686, 2212, 3.000000
107, 1, 0, 0.139034, 4.03421, 2112, 0.000000
108, 1, 59, 0.867118, -1.05388, 2212, 3.000000
109, 1, 0, 0.233199, 2.39979, 2112, 0.000000
110, 1, 0, 0.151448, 4.01909, 2112, 0.000000
111, 1, 0, 0.090167, 4.42472, 2112, 0.000000
112, 1, 0, 0.167388, 3.68107, 2112, 0.000000
113, 1, 0, 0.170157, 3.72852, 2112, 0.000000
114, 1, 0, 0.0629114, 4.88726, 2112, 0.000000
115, 1, 0, 0.132361, 3.88453, 2112, 0.000000
116, 1, 0, 0.0181258, 6.19841, 2112, 0.000000
117, 1, 0, 0.185193, 3.53455, 2112, 0.000000
118, 1, 0, 0.35282, 3.09585, 2112, 0.000000
119, 1, 0, 0.148101, 3.77673, 2112, 0.000000
120, 1, 0, 0.118723, 4.09506, 2112, 0.000000
121, 1, 0, 0.136342, 4.0126, 2112, 0.000000
122, 1, 0, 0.130602, 4.03956, 2112, 0.000000
123, 1, 0, 0.114566, 3.97813, 2112, 0.000000
124, 1, 0, 0.103142, 4.23811, 2112, 0.000000
125, 1, 0, 0.176998, 3.56844, 2112, 0.000000
126, 1, 0, 0.195111, 3.35012, 2112, 0.000000
127, 1, 0, 0.0723795, 4.28192, 2112, 0.000000
128, 1, 0, 0.184264, 3.46705, 2112, 0.000000
129, 1, 0, 1.3059, 1.45015, 2212, 3.000000
130, 1, 0, 0.25913, 3.23903, 2112, 0.000000
131, 1, 0, 0.289457, 3.09108, 2112, 0.000000
132, 1, 0, 1.42339, 1.17164, 2112, 0.000000
133, 1, 0, 0.0681652, 4.57646, 2112, 0.000000
134, 1, 0, 0.260777, 3.25174, 2112, 0.000000
135, 1, 0, 0.29128, -1.8353, 2112, 0.000000
136, 1, 0, 0.0507538, 4.7233, 2112, 0.000000
137, 1, 0, 0.178737, 3.66258, 2112, 0.000000
138, 1, 0, 0.324226, 3.35998, 2212, 3.000000
139, 1, 0, 0.0953952, 4.29261, 2112, 0.000000
140, 1, 0, 0.681962, -2.01655, 2112, 0.000000
141, 1, 0, 0.141146, 3.9206, 2112, 0.000000
142, 1, 0, 0.233964, 3.35628, 2112, 0.000000
143, 1, 0, 0.159169, 3.87962, 2112, 0.000000
144, 1, 0, 0.142204, 4.10216, 2112, 0.000000
145, 1, 0, 0.0622703, 4.46658, 2112, 0.000000
146, 1, 0, 0.0500966, 4.95291, 2112, 0.000000
147, 1, 0, 0.188378, 3.49864, 2112, 0.000000
148, 1, 0, 0.144628, 3.74974, 2112, 0.000000
149, 1, 0, 0.946466, 1.78161, 2112, 0.000000
150, 1, 0, 0.113754, 4.13354, 2112, 0.000000
151, 1, 0, 0.206538, 3.6386, 2112, 0.000000
152, 1, 0, 0.133686, 4.09123, 2112, 0.000000
153, 1, 0, 0.0982402, 4.4963, 2112, 0.000000
154, 1, 0, 0.241954, 3.4045, 2112, 0.000000
155, 1, 0, 0.213034, 3.43351, 2112, 0.000000
156, 1, 0, 0.11341, 4.03123, 2112, 0.000000
157, 1, 0, 0.268036, -2.75973, 2112, 0.000000
158, 1, 0, 0.156296, 3.7017, 2112, 0.000000
159, 1, 0, 0.229593, 3.57583, 2112, 0.000000
160, 1, 0, 0.274293, 3.44253, 2112, 0.000000
161, 1, 0, 0.0992648, 4.17075, 2112, 0.000000
162, 1, 0, 0.0443859, 4.81573, 2112, 0.000000
163, 1, 0, 0.216645, 3.45744, 2112, 0.000000
164, 1, 0, 0.287153, 3.21914, 2112, 0.000000
165, 1, 0, 0.731792, 1.97461, 2112, 0.000000
166, 1, 0, 0.233319, 3.38143, 2112, 0.000000
167, 1, 0, 0.186071, 3.5415, 2112, 0.000000
168, 1, 0, 0.240091, 3.28106, 2112, 0.000000
169, 1, 0, 0.739989, 2.32174, 2112, 0.000000
170, 1, 0, 0.592375, -2.38089, 2112, 0.000000
171, 1, 0, 0.754874, 2.47846, 2212, 3.000000
172, 1, 0, 0.277289, 3.25028, 2112, 0.000000
173, 1, 0, 0.161759, 3.73686, 2112, 0.000000
174, 1, 0, 0.158838, 3.67252, 2112, 0.000000
175, 1, 0, 0.0583955, 4.70473, 2112, 0.000000
176, 1, 0, 0.220423, 3.42621, 2112, 0.000000
177, 1, 0, 0.242103, 3.38058, 2112, 0.000000
178, 1, 0, 0.120322, 4.04301, 2112, 0.000000
179, 1, 0, 0.171107, 3.48794, 2112, 0.000000
180, 1, 0, 0.0856866, 3.45245, 2212, 3.000000
181, 1, 0, 0.0879249, 4.49219, 2112, 0.000000
182, 1, 0, 0.1518, 3.79906, 2112, 0.000000
183, 1, 0, 0.148923, 3.60527, 2112, 0.000000
184, 1, 0, 0.0898529, 4.51689, 2112, 0.000000
185, 1, 0, 0.232633, 3.54057, 2112, 0.000000
186, 1, 0, 0.108317, 3.85053, 2112, 0.000000
187, 1, 0, 0.0889423, 4.19374, 2112, 0.000000
188, 1, 0, 0.228619, 3.36651, 2112, 0.000000
189, 1, 0, 0.170115, 3.79358, 2112, 0.000000
190, 1, 0, 0.202913, 3.35097, 2112, 0.000000
191, 1, 0, 0.58062, 2.82689, 2112, 0.000000
192, 1, 0, 0.0997594, 4.04475, 2112, 0.000000
193, 1, 0, 0.140575, 2.43396, 2212, 3.000000
194, 1, 0, 0.120234, 4.18614, 2112, 0.000000
195, 1, 0, 0.313493, 3.20235, 2112, 0.000000
196, 1, 0, 0.23578, 3.47076, 2112, 0.000000
197, 1, 0, 0.192273, -3.50955, 2212, 3.000000
198, 1, 0, 0.371638, -2.19816, 2212, 3.000000
199, 1, 0, 0.149729, -3.85845, 2212, 3.000000
200, 1, 0, 0.151572, -3.91954, 2212, 3.000000
201, 1, 0, 0.164761, -3.8269, 2212, 3.000000
202, 1, 0, 0.156846, -3.85447, 2212, 3.000000
203, 1, 0, 0.393334, -2.27841, 2212, 3.000000
204, 1, 0, 0.180442, -3.74907, 2212, 3.000000
205, 1, 0, 0.209396, -3.62496, 2212, 3.000000
206, 1, 0, 0.142067, -3.88975, 2212, 3.000000
207, 1, 0, 0.231029, 1.68684, 2112, 0.000000
208, 1, 0, 0.0814912, -4.17731, 2212, 3.000000
209, 1, 0, 0.14992, -3.86381, 2212, 3.000000
210, 1, 0, 0.105835, -4.38175, 2212, 3.000000
211, 1, 0, 0.187976, -3.44013, 2212, 3.000000
212, 1, 0, 0.209277, -3.58685, 2212, 3.000000
213, 1, 0, 0.250052, -3.15358, 2212, 3.000000
214, 1, 0, 0.620796, -2.39815, 2112, 0.000000
215, 1, 0, 0.283029, -3.27883, 2212, 3.000000
216, 1, 0, 0.0829686, -4.23479, 2112, 0.000000
217, 1, 0, 0.121936, -3.89985, 2212, 3.000000
218, 1, 0, 0.174539, -3.62707, 2212, 3.000000
219, 1, 0, 0.0710473, -4.552, 2212, 3.000000
220, 1, 0, 0.106954, -4.16431, 2212, 3.000000
221, 1, 0, 0.121749, -4.12324, 2212, 3.000000
222, 1, 0, 0.127371, -4.06803, 2212, 3.000000
223, 1, 0, 0.222868, -3.63462, 2212, 3.000000
224, 1, 0, 0.669474, 0.931686, 2112, 0.000000
