# format: trackId, is-primary, nHits, pt, eta, pdg, q
0, 1, 0, 0.139791, 3.93214, 2212, 3.000000
1, 1, 0, 0.232685, 3.45295, 2212, 3.000000
2, 1, 0, 0.330845, -2.90825, 2212, 3.000000
3, 1, 0, 0.225034, 3.4111, 2212, 3.000000
4, 1, 0, 0.150265, 3.71347, 2212, 3.000000
5, 1, 0, 0.24946, 3.34324, 2212, 3.000000
6, 1, 0, 0.164327, 3.70562, 2212, 3.000000
7, 1, 0, 0.0815907, 4.23664, 2212, 3.000000
8, 1, 0, 0.104996, 4.31343, 2212, 3.000000
9, 1, 0, 0.112255, 3.89574, 2212, 3.000000
10, 1, 0, 0.198631, 3.49388, 2212, 3.000000
11, 1, 0, 0.142974, 3.79619, 2212, 3.000000
12, 1, 0, 0.138987, 3.88203, 2212, 3.000000
13, 1, 0, 0.114337, 3.95239, 2212, 3.000000
14, 1, 0, 0.206555, 3.52265, 2212, 3.000000
15, 1, 0, 0.123693, 3.98058, 2212, 3.000000
16, 1, 0, 0.050276, 4.80407, 2212, 3.000000
17, 1, 0, 0.202464, 3.63023, 2212, 3.000000
18, 1, 0, 0.104639, 4.25051, 2212, 3.000000
19, 1, 0, 0.213499, 3.52387, 2212, 3.000000
20, 1, 0, 0.0308261, 5.35055, 2212, 3.000000
21, 1, 0, 0.187653, 3.68485, 2212, 3.000000
22, 1, 0, 0.209454, 3.57768, 2212, 3.000000
23, 1, 0, 0.0339426, 5.269, 2212, 3.000000
24, 1, 0, 0.198631, 3.38572, 2212, 3.000000
25, 1, 0, 0.0894264, 4.34376, 2212, 3.000000
26, 1, 0, 0.151813, 3.66865, 2212, 3.000000
27, 1, 0, 0.0748616, 4.37511, 2212, 3.000000
28, 1, 0, 0.0754616, 4.25816, 2212, 3.000000
29, 1, 0, 0.182212, 3.70617, 2212, 3.000000
30, 1, 0, 0.12872, 3.71792, 2212, 3.000000
31, 1, 0, 0.229284, 3.61781, 2212, 3.000000
32, 1, 0, 0.153726, 3.90353, 2212, 3.000000
33, 1, 0, 0.195735, 3.63817, 2212, 3.000000
34, 1, 0, 0.0864639, 4.27746, 2212, 3.000000
35, 1, 0, 0.0843838, 4.36887, 2212, 3.000000
36, 1, 0, 0.152165, 3.97942, 2212, 3.000000
37, 1, 0, 0.609085, 2.15339, 2212, 3.000000
38, 1, 0, 0.154197, 3.71587, 2212, 3.000000
39, 1, 0, 0.16195, 3.73116, 2212, 3.000000
40, 1, 0, 0.178999, 3.69978, 2212, 3.000000
41, 1, 0, 0.157266, 3.80921, 2212, 3.000000
42, 1, 0, 0.196492, 3.73568, 2212, 3.000000
43, 1, 0, 0.107949, 4.02765, 2212, 3.000000
44, 1, 0, 0.159349, 3.65686, 2212, 3.000000
45, 1, 0, 0.215749, 3.44376, 2212, 3.000000
46, 1, 0, 0.2012, 3.73994, 2212, 3.000000
47, 1, 0, 0.107685, 4.00315, 2212, 3.000000
48, 1, 0, 0.13495, 4.07819, 2212, 3.000000
49, 1, 0, 0.201803, 3.43778, 2212, 3.000000
50, 1, 0, 0.134215, 4.03268, 2212, 3.000000
51, 1, 0, 0.137094, 3.76161, 2212, 3.000000
52, 1, 0, 0.0774546, 4.29162, 2212, 3.000000
53, 1, 0, 0.145007, 3.67336, 2212, 3.000000
54, 1, 0, 0.125755, 4.08186, 2212, 3.000000
55, 1, 0, 0.114346, 4.23847, 2212, 3.000000
56, 1, 0, 0.101119, 4.32346, 2212, 3.000000
57, 1, 0, 0.164208, 3.78294, 2212, 3.000000
58, 1, 0, 0.0608729, 4.56865, 2212, 3.000000
59, 1, 0, 0.0362606, 4.99681, 2212, 3.000000
