# format: x, y, z, (trackId)+
377.878, 171.496, 1186.32, 3715
376.905, 173.683, 1433.02, 3715
376.656, 174.24, 1221.48, 3715
374.549, 178.662, 1464.38, 3715
360.351, 205.778, 554.703, 4321
356.977, 211.623, 874.112, 3703
351.995, 219.757, 1099.6, 6849
349.969, 223, 936.219, 4322
240.14, 338.45, 791.839, 7126
212.66, 356.378, 1498.42, 7253
209.591, 358.15, 1376.34, 3715
207.941, 359.102, 875.142, 3702
182.297, 372.776, 633.637, 5050
160.787, 382.589, 1284.74, 4246
22.6782, 414.39, 1420.87, 3880
-22.7974, 414.382, 311.462, 6155
-51.6111, 411.787, 1438.86, 6387
-58.0178, 410.887, 1552.83, 7187
-157.745, 383.819, 767.345, 5217
-165.491, 380.552, 807.446, 4239
-198.297, 364.538, 1337.61, 5024
-247.361, 333.204, 1538.45, 6929
-351.225, 220.99, 559.287, 4140
-353.545, 217.277, 1470.67, 6837
-414.66, 15.9007, 1570.89, 801
-414.682, 15.2817, 1272.09, 801
-414.769, 12.7927, 948.732, 801
-414.741, 13.5844, 630.828, 801
-414.962, 5.26845, 303.012, 4394
-414.962, -2.0514, 699.625, 3984
-414.962, -0.215511, 343.524, 801
-414.962, -5.73452, 93.985, 801
-414.037, -27.7244, 1094.26, 6147
-350.834, -221.615, 1350.47, 6025
-197.404, -365.012, 1598.63, 4701
-16.9699, -414.623, 1280.14, 4129
4.53858, -414.962, 982.094, 3882
49.7144, -412.023, 982.617, 5655
163.148, -381.595, 1223.2, 7343
331.281, -250.007, 1312.42, 5268
414.796, -12.0158, -82.7787, 397
414.962, -6.07628, -1456.74, 2088
413.165, 38.8537, -730.625, 991
355.048, 214.872, -1296.59, 1121
343.108, 233.396, -1021.6, 2704
252.692, 329.17, -562.059, 1715
157.599, 383.878, -290.398, 7037
36.2089, 413.444, -1615.39, 2382
29.3095, 413.926, -1606.82, 2382
2.30154, 414.962, -1371.87, 2888
-33.4434, 413.637, -1594.51, 2613
-41.4573, 412.891, -1634.67, 1732
-163.695, 381.351, -1510.61, 801
-167.218, 379.783, -1543.79, 2064
-175.641, 376.022, -1523.67, 2064
-187.176, 370.396, -1528.72, 2064
-200.904, 363.165, -1152.02, 2630
-231.197, 344.591, -1437.57, 7037
-332.597, 248.196, -1611.17, 917
-411.781, 51.6539, -1170.36, 3246
-414.214, 25.1918, -1305.53, 3246
-414.581, 18.1817, -1345.26, 3246
-414.86, 10.1772, -1254.34, 851
-414.962, -4.87575, -459.422, 801
-414.888, -9.37664, -1604.56, 801
-414.813, -11.5158, -1433.67, 801
-414.835, -10.8807, -73.7809, 801
-414.669, -15.6363, -1281.32, 801
-414.736, -13.7408, -250.458, 801
-414.484, -20.9459, -1151.68, 801
-414.045, -27.6047, -645.82, 801
-413.718, -32.2905, -821.255, 801
-412.819, -42.1396, -988.844, 801
-412.34, -46.6964, -1433.48, 2525
-384.621, -155.76, -723.759, 2625
-195.475, -366.038, -967.237, 1337
-0.38744, -414.962, -1440.91, 3461
176.802, -375.456, -173.66, 394
345.048, -230.519, -1232.57, 2624
359.924, -206.518, -1387.45, 1355
412.497, 74.9034, 1233.84, 7037
390.061, 153.706, 1045.41, 5081
71.9839, 413.012, 1347.94, 4699
-134.353, 397.159, 907.881, 4610
-324.507, 265.485, 1560.95, 6148
-410.974, 82.9419, 1074.3, 801
-397.121, -134.469, 1144.37, 5230
-397.121, -134.469, 1129.48, 5230
-392.566, -147.203, 1095.76, 6585
-391.532, -150.065, 1286.78, 7354
-274.932, -316.581, 1165.02, 3701
-263.051, -326.502, 1125.34, 7128
-145.307, -393.256, 1210.26, 6049
-133.769, -397.348, 1200.65, 6049
75.8828, -412.325, 772.143, 401
264.495, -325.338, 752.033, 4993
392.846, -146.434, 1039.59, 402
319.461, 271.498, -759.222, 2783
144.004, 393.73, -1578.49, 2065
143.889, 393.772, -1305.6, 1020
79.7151, 411.649, -1077.74, 7037
-273.592, 317.704, -772.464, 7037
-319.958, 270.907, -1155.55, 2797
-411.373, 81.0616, -1107.43, 801
-412.682, 73.8579, -933.092, 801
-414.377, 63.9008, -1151.04, 3246
-414.543, 62.7169, -1167.83, 3246
-414.85, -60.5348, -854.901, 854
-75.5127, -412.39, -1634.78, 2089
-71.2994, -413.133, -737.456, 994
414.473, 87.0394, 1636.99, 5082
404.613, 125.244, 1118.56, 4106
367.557, 210.397, 555.994, 4321
365.174, 214.525, 853.87, 3703
358.024, 226.243, 875.071, 3703
361.596, 220.527, 1106.16, 6849
358.367, 225.695, 947.281, 4322
218.817, 362.665, 1505.49, 7253
213.228, 365.923, 884.071, 3702
206.177, 369.994, 1372.19, 3715
131.378, 402.62, 1636.31, 4117
97.3048, 412.217, 1356.45, 7344
94.4143, 412.906, 1175.63, 6926
-21.0989, 423.034, 292.017, 6155
-207.009, 369.514, 1329.48, 5024
-357.62, 226.89, 542.099, 4140
-359.298, 224.204, 1482.47, 6837
-403.539, 128.551, 1610.45, 4023
-412.611, 95.7224, 455.727, 801
-412.217, 97.3048, 280.062, 405
-413.351, 92.3212, 1387, 801
-412.729, 95.2441, 188.598, 801
-415.088, 84.1472, 759.728, 801
-423.324, 12.7983, 1558.49, 801
-423.328, 12.6732, 1254.44, 801
-423.381, 11.165, 931.938, 801
-423.393, 10.8287, 616.988, 801
-423.336, 12.4419, 290.271, 4394
-423.513, 4.97653, 261.77, 4394
-423.513, 7.5, 296.115, 4394
-423.513, 4.68115, 283.32, 4394
-423.513, -1.57976, 697.476, 3984
-423.513, -3.94886, 333.459, 801
-423.441, -9.43572, 87.3287, 801
-405.643, -121.84, 1500.41, 4319
-405.72, -121.571, 1160.56, 5230
-403.394, -128.995, 1135.12, 5230
-354.775, -231.388, 1346.17, 6025
-311.334, -287.158, 935.036, 6152
-283.754, -314.399, 960.458, 4733
-199.98, -373.326, 1631.64, 4701
-200.893, -372.841, 1613.21, 4701
-121.959, -405.609, 551.078, 5608
-97.3048, -412.217, 1194.11, 6025
-18.8515, -423.112, 1285.59, 4129
4.90227, -423.513, 991.783, 3882
96.3438, -412.457, 1208.24, 4845
415.058, -84.287, -1117.55, 2166
423.337, -12.4274, -85.0634, 397
423.513, 5.53676, -1461.16, 2088
361.049, 221.403, -1320.48, 1121
2.61831, 423.513, -1372.98, 2888
-203.84, 371.274, -1533.85, 2064
-215.676, 364.509, -1538.74, 2064
-206.098, 370.04, -1155.93, 2630
-281.098, 316.791, -1565.07, 2064
-283.993, 314.183, -1344.01, 876
-285.885, 312.48, -1159.62, 2800
-283.177, 314.918, -1143.73, 2800
-289.02, 309.648, -1569.67, 2064
-288.909, 309.756, -1342.14, 876
-308.645, 290.059, -655.312, 1704
-309.913, 288.737, -818.413, 1705
-412.217, 97.3048, -177.716, 801
-412.217, 97.3048, -17.8415, 801
-412.823, 94.8014, -1560.53, 801
-412.82, 94.819, -1394.04, 801
-412.689, 95.4323, -1245.62, 801
-413.716, 90.6026, -582.676, 801
-412.849, 94.6815, -382.033, 801
-414.894, 85.0585, -763.283, 801
-423.513, -2.03684, -1254.87, 851
-423.421, -10.0176, -467.35, 801
-423.284, -13.9266, -77.3811, 801
-423.143, -17.9859, -1609.99, 801
-423.18, -16.9193, -253.481, 801
-423.016, -21.8833, -1439.97, 801
-422.927, -23.1682, -1285.85, 801
-412.86, -94.6282, -1024.87, 489
-377.795, -191.51, -1572.63, 6281
-201.303, -372.623, -971.874, 1337
-134.52, -401.599, -1156.47, 876
-97.3048, -412.217, -1311.01, 488
-21.3763, -423.024, -1608.31, 2089
2.91268, -423.513, -1596.99, 2089
-1.58909, -423.513, -1433.3, 3461
21.7775, -423.01, -1589.11, 2089
97.3048, -412.217, -1553.86, 2089
96.0178, -412.538, -1032.94, 1734
96.9595, -412.303, -384.708, 485
122.807, -405.365, -1171.26, 2313
311.844, -286.592, -1290.13, 3609
368.872, -208.121, -1388.62, 1355
404.694, -124.995, -941.411, 2059
397.299, 158.615, 1050.71, 5081
391.039, 173.467, 1434.39, 3715
391.769, 171.827, 1187.75, 3715
249.179, 347.735, 800.568, 7126
188.706, 383.919, 631.33, 5050
166.33, 394.182, 1304.14, 4246
23.8595, 427.164, 1453.64, 3880
-51.0752, 424.776, 1441.58, 6387
-56.386, 424.067, 1555.07, 7187
-164.187, 395.048, 759.556, 5217
-172.327, 391.547, 810.363, 4239
-254.751, 343.687, 1538.02, 6929
-426.549, -32.6438, 1097.85, 6147
-187.908, -384.308, 1223.66, 6049
-176.457, -389.708, 1218.79, 6049
-162.869, -395.58, 1211.14, 6049
56.3189, -424.077, 972.405, 5655
169.736, -392.7, 1222.32, 7343
339.713, -260.029, 1319.79, 5268
425.898, 40.3942, -733.19, 991
353.055, 241.584, -1010.15, 2704
256.265, 342.587, -554.017, 1715
160.474, 396.548, -295.881, 7037
42.349, 425.693, -1622.7, 2382
31.2754, 426.645, -1610.29, 2382
-33.3339, 426.501, -1612.45, 2613
-176.572, 389.657, -1511.6, 801
-181.976, 387.202, -1549.84, 796
-238.754, 354.963, -1546.49, 2064
-235.358, 357.254, -1428.89, 7037
-256.654, 342.304, -1554.42, 2064
-347.106, 250.046, -1632.81, 917
-426.612, -31.7453, -1157.05, 801
-426.549, -32.6524, -649.956, 801
-426.238, -37.1647, -826.218, 801
-425.355, -45.567, -1437.64, 2525
-425.19, -47.1333, -993.267, 801
-423.514, -60.3181, -846.093, 854
-397.142, -159.004, -715.91, 2625
-59.8605, -423.579, -1626.78, 2089
-48.1031, -425.088, -1620.95, 2089
-33.9989, -426.455, -1614.97, 2089
38.4439, -426.103, -1581.14, 2089
60.9113, -423.431, -1569.52, 2089
181.986, -387.197, -181.424, 394
355.082, -238.578, -1240.32, 2624
424.798, 78.998, 1229.7, 7037
73.8785, 425.701, 1368.3, 4699
-139.884, 408.846, 910.247, 4610
-329.837, 279.085, 1577.66, 6148
-423.718, 84.6681, 777.394, 801
-423.57, 85.3664, 1094.09, 801
-409.085, -139.148, 1162.38, 5230
-408.071, -142.099, 1141.49, 5230
-406.613, -146.106, 1084.44, 6585
-403.671, -154.19, 1287.14, 7354
