#format: eventNumber, prototrackIndex, nMeasurements, nStates, nOutliers, nHoles, nSharedHits, chi2PerNDF, pT, eta, duplicate, fake
9, 0, 12, 58, 6, 40, 0, 2.15672, 0.0941891, -0.237057, 1, 0
9, 1, 6, 15, 0, 9, 0, 4.2263, 0.105447, -0.185148, 1, 0
9, 2, 20, 107, 11, 76, 0, 4.04502, 0.104885, -0.257221, 1, 0
9, 3, 6, 40, 6, 28, 0, 1.9669, 0.104173, -0.27787, 1, 0
9, 4, 24, 103, 0, 79, 0, 1.9995, 0.406878, -0.174668, 1, 0
9, 5, 22, 90, 0, 68, 0, 1.27031, 0.357076, -0.174315, 1, 0
9, 6, 18, 73, 0, 55, 0, 1.62024, 0.310375, -0.175473, 1, 0
9, 7, 15, 61, 0, 46, 0, 1.56111, 0.40716, -0.175138, 1, 0
9, 8, 44, 163, 4, 115, 0, 1.3741, 0.658382, 0.435189, 1, 0
9, 9, 43, 163, 4, 116, 0, 2.85611, 0.60524, 0.435203, 1, 0
9, 10, 43, 160, 4, 113, 0, 1.32844, 0.641864, 0.435994, 1, 0
9, 11, 43, 159, 4, 112, 0, 1.67748, 0.627555, 0.436004, 1, 0
9, 12, 42, 157, 4, 111, 0, 1.24411, 0.654532, 0.435931, 1, 0
9, 13, 43, 159, 4, 112, 0, 1.22235, 0.670556, 0.436017, 1, 0
9, 14, 41, 156, 4, 111, 0, 2.50562, 0.708035, 0.435736, 1, 0
9, 15, 41, 154, 4, 109, 0, 1.87715, 0.625377, 0.43623, 1, 0
9, 16, 41, 151, 3, 107, 0, 1.58351, 0.694925, 0.43651, 1, 0
9, 17, 39, 149, 3, 107, 0, 2.50286, 0.601824, 0.434947, 1, 0
9, 18, 39, 149, 3, 107, 0, 1.88922, 0.616761, 0.434926, 1, 0
9, 19, 39, 148, 3, 106, 0, 2.34902, 0.601415, 0.434942, 1, 0
9, 20, 40, 150, 3, 107, 0, 1.50836, 0.648634, 0.436266, 1, 0
9, 21, 37, 143, 3, 103, 0, 1.23333, 0.660751, 0.43564, 1, 0
9, 22, 38, 145, 4, 103, 0, 1.31321, 0.704174, 0.435585, 1, 0
9, 23, 37, 143, 3, 103, 0, 1.27242, 0.646432, 0.43558, 1, 0
9, 24, 38, 145, 3, 104, 0, 1.26245, 0.640315, 0.43564, 1, 0
9, 25, 37, 140, 3, 100, 0, 1.39993, 0.690867, 0.436068, 1, 0
9, 26, 36, 143, 3, 104, 0, 2.69911, 0.708694, 0.435394, 1, 0
9, 27, 36, 139, 3, 100, 0, 1.69643, 0.61221, 0.435813, 1, 0
9, 28, 36, 140, 3, 101, 0, 1.97187, 0.598092, 0.435849, 1, 0
9, 29, 35, 137, 2, 100, 0, 1.29139, 0.673554, 0.435913, 1, 0
9, 30, 35, 135, 3, 97, 0, 1.325, 0.725099, 0.435782, 1, 0
9, 31, 35, 137, 2, 100, 0, 1.30963, 0.664543, 0.435859, 1, 0
9, 32, 35, 136, 2, 99, 0, 1.3425, 0.695292, 0.435881, 1, 0
9, 33, 36, 139, 3, 100, 0, 1.35266, 0.639086, 0.435815, 1, 0
9, 34, 35, 137, 2, 100, 0, 1.82095, 0.616127, 0.435905, 1, 0
9, 35, 35, 136, 2, 99, 0, 1.36123, 0.651749, 0.435858, 1, 0
9, 36, 35, 137, 2, 100, 0, 1.61651, 0.627409, 0.435851, 1, 0
9, 37, 33, 132, 2, 97, 0, 1.43987, 0.647746, 0.435818, 1, 0
9, 38, 34, 132, 2, 96, 0, 1.45474, 0.698178, 0.43604, 1, 0
9, 39, 33, 129, 2, 94, 0, 1.42586, 0.708282, 0.436524, 1, 0
9, 40, 30, 123, 2, 91, 0, 1.56052, 0.655846, 0.436785, 1, 0
9, 41, 31, 125, 2, 92, 0, 1.65215, 0.624881, 0.436445, 1, 0
9, 42, 32, 128, 2, 94, 0, 1.63778, 0.62426, 0.436271, 1, 0
9, 43, 30, 122, 2, 90, 0, 1.59626, 0.65195, 0.436805, 1, 0
9, 44, 28, 118, 2, 88, 0, 1.6512, 0.638733, 0.435743, 1, 0
9, 45, 31, 125, 2, 92, 0, 1.63255, 0.628449, 0.436474, 1, 0
9, 46, 30, 123, 2, 91, 0, 2.07099, 0.600949, 0.436827, 1, 0
9, 47, 30, 122, 2, 90, 0, 1.52528, 0.690985, 0.436816, 1, 0
9, 48, 30, 123, 2, 91, 0, 1.75386, 0.630379, 0.436827, 1, 0
