#format: eventNumber, prototrackIndex, nMeasurements, nStates, nOutliers, nHoles, nSharedHits, chi2PerNDF, pT, eta, duplicate, fake
7, 0, 10, 72, 15, 47, 0, 2.25703, 1.95271, -1.53637, 1, 0
7, 1, 8, 34, 5, 21, 0, 1.57494, 0.480126, -1.57256, 1, 0
7, 2, 6, 26, 4, 16, 0, 0.231356, 0.835641, -1.58604, 1, 0
7, 3, 5, 23, 4, 14, 0, 0.130437, 1.00599, -1.58282, 1, 0
7, 4, 6, 26, 4, 16, 0, 0.229954, 0.598768, -1.58601, 1, 0
7, 5, 5, 23, 4, 14, 0, 0.133579, 2.95704, -1.58286, 1, 0
7, 6, 5, 23, 4, 14, 0, 0.132013, 0.50343, -1.58282, 1, 0
7, 7, 7, 37, 7, 23, 0, 1.20344, 0.394005, -1.59273, 1, 0
7, 8, 5, 23, 4, 14, 0, 0.134587, 0.420511, -1.58279, 1, 0
7, 9, 7, 37, 7, 23, 0, 1.14251, 0.353149, -1.59267, 1, 0
7, 10, 2, 9, 2, 5, 0, 2.9593, 0.403747, -1.6904, 1, 0
7, 11, 42, 159, 9, 108, 0, 0.960934, 0.271738, 0.1733, 1, 0
7, 12, 42, 157, 9, 106, 0, 1.33714, 0.267189, 0.173422, 1, 0
7, 13, 42, 159, 9, 108, 0, 1.54369, 0.279121, 0.173502, 1, 0
7, 14, 40, 157, 10, 107, 0, 1.81171, 0.261821, 0.173596, 1, 0
7, 15, 38, 147, 9, 100, 0, 1.5224, 0.268609, 0.173214, 1, 0
7, 16, 43, 161, 9, 109, 0, 0.974296, 0.272768, 0.173336, 1, 0
7, 17, 41, 153, 9, 103, 0, 1.43812, 0.26824, 0.173544, 1, 0
7, 18, 42, 158, 9, 107, 0, 1.29295, 0.277317, 0.173489, 1, 0
7, 19, 39, 152, 10, 103, 0, 1.27795, 0.266473, 0.173224, 1, 0
7, 20, 39, 152, 10, 103, 0, 1.70223, 0.263472, 0.173271, 1, 0
7, 21, 40, 155, 10, 105, 0, 1.72206, 0.263606, 0.173647, 1, 0
7, 22, 38, 155, 12, 105, 0, 1.84107, 0.257816, 0.173851, 1, 0
7, 23, 40, 153, 9, 104, 0, 1.06609, 0.276098, 0.172941, 1, 0
7, 24, 41, 156, 9, 106, 0, 1.11511, 0.277042, 0.173018, 1, 0
7, 25, 40, 153, 9, 104, 0, 1.36852, 0.27906, 0.172942, 1, 0
7, 26, 41, 156, 9, 106, 0, 1.38033, 0.279252, 0.173017, 1, 0
7, 27, 39, 151, 9, 103, 0, 1.08866, 0.274275, 0.173065, 1, 0
7, 28, 38, 148, 8, 102, 0, 1.07363, 0.274867, 0.172595, 1, 0
7, 29, 37, 145, 8, 100, 0, 1.06687, 0.275308, 0.172516, 1, 0
7, 30, 40, 153, 9, 104, 0, 1.69001, 0.281352, 0.173032, 1, 0
7, 31, 37, 146, 8, 101, 0, 1.01761, 0.272037, 0.172448, 1, 0
7, 32, 38, 150, 10, 102, 0, 0.989409, 0.271685, 0.172979, 1, 0
7, 33, 39, 151, 9, 103, 0, 1.05267, 0.274378, 0.172975, 1, 0
7, 34, 37, 144, 8, 99, 0, 1.42217, 0.266606, 0.172638, 1, 0
7, 35, 38, 147, 8, 101, 0, 1.33579, 0.278909, 0.172555, 1, 0
7, 36, 38, 148, 8, 102, 0, 1.52722, 0.28054, 0.172573, 1, 0
7, 37, 35, 137, 8, 94, 0, 1.4927, 0.2677, 0.172806, 1, 0
7, 38, 36, 144, 9, 99, 0, 0.997628, 0.272494, 0.172416, 1, 0
7, 39, 34, 135, 8, 93, 0, 1.60823, 0.262852, 0.1722, 1, 0
7, 40, 35, 140, 9, 96, 0, 1.71744, 0.261892, 0.172665, 1, 0
7, 41, 33, 133, 8, 92, 0, 1.53196, 0.268284, 0.172921, 1, 0
7, 42, 36, 142, 8, 98, 0, 1.07874, 0.274681, 0.172694, 1, 0
7, 43, 33, 135, 9, 93, 0, 1.6456, 0.259009, 0.172303, 1, 0
7, 44, 34, 135, 8, 93, 0, 1.5456, 0.265542, 0.172187, 1, 0
7, 45, 33, 133, 8, 92, 0, 1.57762, 0.264332, 0.172934, 1, 0
7, 46, 34, 137, 8, 95, 0, 1.30394, 0.279042, 0.172826, 1, 0
7, 47, 33, 135, 9, 93, 0, 1.7137, 0.258243, 0.172329, 1, 0
7, 48, 33, 134, 8, 93, 0, 1.13208, 0.272702, 0.172189, 1, 0
7, 49, 31, 127, 8, 88, 0, 1.66239, 0.266282, 0.172198, 1, 0
7, 50, 32, 131, 8, 91, 0, 1.31497, 0.279351, 0.172183, 1, 0
7, 51, 25, 108, 7, 76, 0, 1.30235, 0.275672, 0.17347, 1, 0
7, 52, 25, 107, 7, 75, 0, 2.05296, 0.297558, 0.173724, 1, 0
7, 53, 25, 107, 7, 75, 0, 1.80639, 0.272155, 0.172891, 1, 0
7, 54, 24, 103, 6, 73, 0, 1.93865, 0.26345, 0.173731, 1, 0
7, 55, 26, 114, 8, 80, 0, 1.17043, 0.282984, 0.173206, 1, 0
7, 56, 23, 100, 7, 70, 0, 2.05182, 0.254301, 0.172506, 1, 0
7, 57, 17, 93, 7, 69, 0, 2.99457, 0.142692, -0.194322, 1, 0
7, 58, 30, 170, 24, 116, 0, 2.8013, 0.337624, 1.13681, 1, 0
7, 59, 19, 68, 6, 43, 0, 4.41881, 0.648548, 1.14372, 1, 0
7, 60, 27, 131, 15, 89, 0, 3.41806, 0.303865, 1.14098, 1, 0
7, 61, 20, 132, 22, 90, 0, 2.40671, 0.302036, 1.14401, 1, 0
7, 62, 28, 160, 22, 110, 0, 2.94657, 0.340769, 1.13572, 1, 0
7, 63, 28, 159, 22, 109, 0, 2.92818, 0.341697, 1.13567, 1, 0
7, 64, 13, 106, 21, 72, 0, 1.98146, 0.393222, 1.12078, 1, 0
7, 65, 25, 123, 14, 84, 0, 3.09476, 0.310134, 1.13856, 1, 0
7, 66, 30, 165, 22, 113, 0, 2.53316, 0.333354, 1.13524, 1, 0
7, 67, 28, 160, 22, 110, 0, 2.87444, 0.336183, 1.13565, 1, 0
7, 68, 29, 154, 18, 107, 0, 3.03612, 0.335505, 1.13347, 1, 0
7, 69, 27, 155, 21, 107, 0, 2.62307, 0.332257, 1.13489, 1, 0
7, 70, 28, 160, 22, 110, 0, 2.85176, 0.339631, 1.13565, 1, 0
7, 71, 26, 151, 21, 104, 0, 2.48028, 0.329657, 1.13218, 1, 0
7, 72, 27, 154, 21, 106, 0, 2.6844, 0.33051, 1.13489, 1, 0
7, 73, 23, 133, 18, 92, 0, 2.97087, 0.323447, 1.1353, 1, 0
7, 74, 26, 151, 21, 104, 0, 2.47777, 0.329405, 1.13218, 1, 0
7, 75, 31, 152, 16, 105, 0, 3.4976, 0.329441, 1.13029, 0, 0
7, 76, 27, 146, 18, 101, 0, 2.76156, 0.335005, 1.13322, 1, 0
7, 77, 27, 146, 18, 101, 0, 2.81177, 0.337077, 1.13322, 1, 0
7, 78, 28, 141, 14, 99, 0, 3.4782, 0.320915, 1.12973, 1, 0
7, 79, 24, 137, 16, 97, 0, 2.90125, 0.316701, 1.13157, 1, 0
7, 80, 28, 140, 15, 97, 0, 3.20121, 0.325424, 1.12971, 1, 0
7, 81, 27, 138, 15, 96, 0, 3.16754, 0.327116, 1.13029, 1, 0
7, 82, 7, 75, 15, 53, 0, 2.10561, 0.388827, 1.10402, 1, 0
7, 83, 25, 135, 15, 95, 0, 3.11395, 0.317341, 1.12878, 1, 0
7, 84, 25, 135, 15, 95, 0, 3.17912, 0.314428, 1.12875, 1, 0
