#format: eventNumber, prototrackIndex, nMeasurements, nStates, nOutliers, nHoles, nSharedHits, chi2PerNDF, pT, eta, duplicate, fake
3, 0, 5, 22, 3, 14, 0, 1.69147, 0.0891949, -1.37601, 1, 0
3, 1, 5, 32, 5, 22, 0, 1.70109, 0.0912536, -1.35712, 1, 0
3, 2, 9, 49, 5, 35, 0, 1.57833, 0.129181, -0.848531, 1, 0
3, 3, 7, 49, 6, 36, 0, 1.92243, 0.130955, -0.805715, 1, 0
3, 4, 8, 51, 6, 37, 0, 2.76673, 0.127218, -0.838076, 1, 0
3, 5, 5, 17, 0, 12, 0, 5.55946, 0.409713, -0.768989, 1, 0
3, 6, 30, 138, 16, 92, 0, 2.03098, 0.148101, -0.483004, 1, 0
3, 7, 36, 151, 11, 104, 0, 2.25764, 0.154794, -0.482351, 1, 0
3, 8, 35, 151, 11, 105, 0, 2.34405, 0.154817, -0.482358, 1, 0
3, 9, 33, 148, 11, 104, 0, 2.40855, 0.154859, -0.48239, 1, 0
3, 10, 34, 153, 15, 104, 0, 2.36003, 0.154177, -0.4837, 1, 0
3, 11, 34, 145, 12, 99, 0, 2.11573, 0.15509, -0.482495, 1, 0
3, 12, 29, 138, 11, 98, 0, 2.9283, 0.154325, -0.4822, 1, 0
3, 13, 34, 150, 12, 104, 0, 2.43515, 0.154929, -0.482453, 1, 0
3, 14, 32, 148, 12, 104, 0, 2.4832, 0.154781, -0.482471, 1, 0
3, 15, 33, 147, 11, 103, 0, 2.54526, 0.155183, -0.48249, 1, 0
3, 16, 32, 144, 15, 97, 0, 2.53396, 0.155084, -0.483456, 1, 0
3, 17, 33, 140, 12, 95, 0, 2.22963, 0.153961, -0.482241, 1, 0
3, 18, 26, 121, 13, 82, 0, 2.01602, 0.148229, -0.483553, 1, 0
3, 19, 32, 145, 15, 98, 0, 2.38716, 0.155406, -0.483439, 1, 0
3, 20, 33, 143, 11, 99, 0, 2.39013, 0.155056, -0.482083, 1, 0
3, 21, 32, 137, 11, 94, 0, 2.4276, 0.154959, -0.482257, 1, 0
3, 22, 26, 118, 13, 79, 0, 2.15757, 0.147623, -0.483526, 1, 0
3, 23, 31, 134, 11, 92, 0, 2.71578, 0.15459, -0.481779, 1, 0
3, 24, 16, 47, 3, 28, 0, 3.35938, 0.17502, 0.101652, 1, 0
3, 25, 29, 99, 13, 57, 0, 1.76828, 0.130151, 0.10157, 1, 0
3, 26, 27, 107, 19, 61, 0, 1.87533, 0.135979, 0.102375, 1, 0
3, 27, 26, 112, 19, 67, 0, 1.0163, 0.110022, 0.103297, 1, 0
3, 28, 26, 113, 19, 68, 0, 1.16393, 0.109431, 0.103083, 1, 0
3, 29, 45, 176, 19, 112, 0, 2.24744, 0.116022, 0.0996919, 0, 0
3, 30, 29, 105, 15, 61, 0, 1.83036, 0.12971, 0.101446, 1, 0
