# format: trackId, is-primary, nHits, pt, eta, pdg, q
0, 1, 0, 0.143976, 3.83766, 2212, 3.000000
1, 1, 54, 1.12863, 0.405876, 2212, 3.000000
2, 1, 0, 0.159507, 3.7733, 2212, 3.000000
3, 1, 35, 0.75427, -1.49603, 2212, 3.000000
4, 1, 0, 0.254121, 2.16938, 2112, 0.000000
5, 1, 0, 0.301982, 1.03547, 2112, 0.000000
6, 1, 52, 0.835619, -0.048938, 2212, 3.000000
7, 1, 53, 0.445707, -1.13495, 2212, 3.000000
8, 1, 0, 0.364765, 3.08195, 2212, 3.000000
9, 1, 0, 0.200441, 1.84871, 2112, 0.000000
10, 1, 0, 0.264967, 3.25338, 2212, 3.000000
11, 1, 0, 0.634118, 0.127712, 2112, 0.000000
12, 1, 53, 0.494324, 1.0002, 2212, 3.000000
13, 1, 53, 0.95054, -0.343215, 2212, 3.000000
14, 1, 0, 0.368052, 1.31532, 2112, 0.000000
15, 1, 0, 0.719074, 1.7142, 3122, 0.000000
16, 1, 0, 0.085592, 4.42772, 2212, 3.000000
17, 1, 48, 0.909119, -1.37756, 2212, 3.000000
18, 1, 0, 0.370649, -1.98299, 2112, 0.000000
19, 1, 0, 0.589355, -0.525892, 2112, 0.000000
20, 1, 0, 2.59387, 0.564692, 2112, 0.000000
21, 1, 0, 0.264952, 0.298681, 2112, 0.000000
22, 1, 0, 0.318519, 2.69693, 2112, 0.000000
23, 1, 0, 1.49958, 0.928975, 3112, -3.000000
24, 1, 0, 0.879015, 2.14259, 2112, 0.000000
25, 1, 0, 0.610533, 2.32542, 2212, 3.000000
26, 1, 0, 0.626087, -0.869275, 3112, -3.000000
27, 1, 49, 0.53787, 0.752253, 2212, 3.000000
28, 1, 0, 0.534682, 1.90675, 2112, 0.000000
29, 1, 0, 0.0645248, 4.78994, 2212, 3.000000
30, 1, 0, 0.9721, -0.842827, 3122, 0.000000
31, 1, 0, 0.589535, 2.14475, 2112, 0.000000
32, 1, 0, 0.603095, -1.63062, 2112, 0.000000
33, 1, 0, 0.447269, 2.83488, 2212, 3.000000
34, 1, 0, 1.40715, 0.729071, 2112, 0.000000
35, 1, 0, 0.138348, 3.9537, 2212, 3.000000
36, 1, 0, 0.166552, 3.3026, 2112, 0.000000
37, 1, 0, 0.0259775, 4.64412, 2112, 0.000000
38, 1, 0, 0.552407, 2.47246, 2212, 3.000000
39, 1, 0, 0.224622, 3.34236, 2212, 3.000000
40, 1, 0, 1.13193, -0.739558, 2112, 0.000000
41, 1, 0, 0.679771, -1.57589, 2112, 0.000000
42, 1, 53, 0.816417, -0.0116447, 2212, 3.000000
43, 1, 49, 0.239083, -0.466885, 2212, 3.000000
44, 1, 45, 1.06509, 1.18715, 2212, 3.000000
45, 1, 54, 0.422205, 1.1895, 2212, 3.000000
46, 1, 0, 1.30341, 0.479726, 2112, 0.000000
47, 1, 0, 0.338581, 3.14348, 2212, 3.000000
48, 1, 0, 1.41831, 1.08895, 2112, 0.000000
49, 1, 0, 0.35362, 3.09807, 2212, 3.000000
50, 1, 0, 1.05274, 1.47564, 2112, 0.000000
51, 1, 0, 0.109616, 3.09875, 3222, 3.000000
52, 1, 40, 0.365807, -1.23376, 2212, 3.000000
53, 1, 0, 1.00398, 0.351889, 2112, 0.000000
54, 1, 0, 0.257942, 3.24229, 2212, 3.000000
55, 1, 0, 1.22451, -0.6692, 3222, 3.000000
56, 1, 0, 0.555459, 1.65701, 2112, 0.000000
57, 1, 0, 0.166554, 3.85033, 2212, 3.000000
58, 1, 0, 0.612045, 2.10269, 2212, 3.000000
59, 1, 0, 0.985425, 1.05118, 2112, 0.000000
60, 1, 0, 0.423938, 0.876892, 2112, 0.000000
61, 1, 0, 0.837857, 0.768777, 2112, 0.000000
62, 1, 0, 0.994398, 0.624042, 2112, 0.000000
63, 1, 0, 0.674668, 0.778732, 2112, 0.000000
64, 1, 42, 0.692864, 0.694911, 2212, 3.000000
65, 1, 0, 0.202236, 3.68282, 2212, 3.000000
66, 1, 0, 1.0432, 0.998921, 3122, 0.000000
