# format: x, y, z, (trackId)+
411.913, -50.763, 1528.28, 5973
412.036, -49.5888, 1469.55, 6258
413.098, -39.4877, 1160.44, 3202
413.303, -37.5319, 1210.58, 3202
413.55, -34.6874, 89.1424, 763
413.464, -35.9232, 1266.43, 3202
413.56, -34.5437, 1240.36, 3202
413.687, -32.7279, 731.326, 45
413.7, -32.5489, 1196.95, 3202
414.259, -24.5575, 1000.15, 7430
414.266, -24.4574, 772.332, 189
414.048, -27.5733, 718.869, 45
414.285, -24.1865, 51.8664, 561
414.537, -19.4363, 689.241, 1408
414.962, -5.05015, 671.084, 1408
414.962, -6.32137, 1037.59, 3202
414.962, -3.2004, 1122.67, 3202
414.962, -2.5, 1090.87, 3202
414.962, -2.5, 1061.59, 3202
414.802, 11.8445, 652.586, 1408
414.515, 20.0529, 636.467, 1408
414.772, 12.6843, 546.868, 177
414.75, 13.317, 313.958, 494
414.349, 23.2602, 1029.85, 3202
414.048, 27.5733, 1139.56, 3202
413.511, 35.2456, 1111.81, 6963
414.048, 27.5733, 1105.07, 3202
414.048, 27.5733, 1083.9, 3202
414.01, 28.1171, 1054.81, 3202
412.549, 44.7108, 608.936, 1408
382.498, 161.012, 153.53, 699
381.191, 164.055, 1555.02, 6326
372.796, 182.256, 433.994, 575
371.476, 184.961, 333.432, 655
364.023, 199.264, 10.8406, 531
362.496, 202.063, 1282.87, 33
340.307, 237.548, 587.408, 234
338.374, 240.245, 376.496, 603
205.295, 360.63, 199.177, 362
191.395, 368.208, 461.303, 459
190.783, 368.533, 167.161, 397
161.632, 382.248, 1018.79, 6302
160.725, 382.614, 19.4273, 527
45.9862, 412.415, 90.7734, 523
-57.9424, 410.897, 1450.47, 7841
-157.321, 383.99, 70.0864, 407
-163.344, 381.507, 595.992, 744
-180.337, 373.732, 26.5366, 1087
-186.895, 370.533, 27.2271, 1087
-195.729, 365.903, 27.0794, 1087
-188.8, 369.588, 82.3119, 532
-195.598, 365.973, 927.162, 721
-197.483, 364.97, 435.04, 461
-207.717, 359.232, 31.5958, 1087
-207.945, 359.101, 186.664, 6164
-216.598, 353.969, 1067.37, 2407
-226.341, 347.867, 1314.06, 7651
-241.745, 337.284, 950.61, 625
-247.201, 333.32, 938.453, 625
-343.943, 232.158, 1126.98, 5949
-365.892, 195.749, 620.808, 4676
-373.193, 181.441, 1413.47, 559
-373.02, 181.796, 1394.51, 559
-380.667, 165.232, 615.917, 557
-380.742, 165.063, 1229.53, 746
-382.68, 160.562, 1253.03, 746
-413.359, 37.0082, 1036.35, 7064
-412.784, 42.4773, 816.351, 442
-413.303, 37.5319, 821.563, 442
-413.379, 36.8151, 807.101, 442
-413.51, 35.2613, 879.044, 259
-413.834, 30.6274, 1253.49, 151
-414.908, 8.80239, 1411.61, 672
-414.777, 12.562, 1393.78, 672
-414.962, 7.5, 1429.49, 672
-414.962, 4.41909, 114.677, 401
-414.418, -22.2754, 577.584, 455
-413.751, -31.8107, 1002.18, 7760
-413.738, -32.0074, 19.0852, 1137
-412.831, -42.0273, 1405.97, 2968
-412.858, -41.7671, 75.0675, 691
-412.006, -49.877, 1426.32, 569
-412.264, -47.4226, 1398.23, 569
-411.983, -50.2182, 1161.09, 2993
-410.999, -57.2188, 1433.41, 569
-383.794, -157.806, 967.712, 807
-384.545, -155.947, 302.527, 354
-381.179, -164.081, 655.558, 1137
-378.351, -170.434, 1576.2, 708
-376.697, -174.148, 1552.66, 708
-374.549, -178.662, 855.276, 622
-372.073, -183.738, 837.345, 622
-370.104, -187.775, 1287.95, 499
-368.69, -190.488, 1150.88, 1137
-359.376, -207.467, 969.323, 525
-356.542, -212.376, 102.381, 547
-350.278, -222.505, 1113.79, 38
-348.541, -225.285, 1100.28, 38
-342.53, -234.253, 746.917, 718
-339.165, -239.155, 763.993, 718
-336.639, -242.633, 328.98, 619
-332.861, -247.833, 1329.29, 31
-332.729, -248.015, 570.089, 763
-329.091, -252.793, 137.75, 639
-330.375, -251.151, 1358.4, 31
-245.73, -334.388, 1554.63, 1137
-235.886, -341.428, 1555.62, 1137
-235.038, -342, 1460.57, 6876
-232.523, -343.696, 1440.14, 6876
-214.038, -355.583, 146.813, 437
-212.009, -356.754, 1267.26, 431
-196.982, -365.237, 669.222, 493
-193.078, -367.313, 423.502, 602
-186.747, -370.605, 1573.99, 615
-183.145, -372.362, 1606.65, 615
-176.22, -375.74, 866.141, 692
-57.9811, -410.892, 1360.38, 1137
-45.0951, -412.509, 964.268, 1137
-46.6734, -412.343, 776.012, 180
-46.5744, -412.353, 396.152, 81
-34.9458, -413.532, 1128.46, 2343
-36.055, -413.455, 114.418, 2992
-29.8446, -413.889, 1106.15, 2343
-11.5745, -414.811, 510.158, 1137
10.6945, -414.842, 115.905, 710
16.0533, -414.655, 184.502, 1137
24.7258, -414.247, 541.725, 2790
