#format: eventNumber, prototrackIndex, nMeasurements, nStates, nOutliers, nHoles, nSharedHits, chi2PerNDF, pT, eta, duplicate, fake
6, 0, 5, 29, 6, 18, 0, 0.332013, 0.761969, -1.74544, 1, 0
6, 1, 5, 29, 6, 18, 0, 0.406538, 22.4883, -1.74564, 1, 0
6, 2, 4, 18, 3, 11, 0, 3.99668, 0.420802, -1.61485, 1, 0
6, 3, 4, 26, 6, 16, 0, 1.92414, 0.979225, -1.65126, 1, 0
6, 4, 6, 26, 4, 16, 0, 2.54487, 0.405584, -1.71228, 1, 0
6, 5, 8, 38, 6, 24, 0, 2.92474, 1.06518, -1.61018, 0, 0
6, 6, 6, 21, 2, 13, 0, 4.78037, 1.50532, -1.5955, 1, 0
6, 7, 7, 35, 6, 22, 0, 4.15678, 0.710421, -1.6084, 1, 0
6, 8, 4, 17, 3, 10, 0, 1.64587, 0.449641, -1.74588, 1, 0
6, 9, 25, 144, 23, 96, 0, 1.68357, 0.153909, -0.842836, 1, 0
6, 10, 6, 15, 0, 9, 0, 4.14805, 0.193553, -0.78256, 1, 0
6, 11, 23, 122, 20, 79, 0, 1.65092, 0.166451, -0.839407, 1, 0
6, 12, 22, 117, 18, 77, 0, 1.72726, 0.164578, -0.836515, 1, 0
6, 13, 21, 116, 19, 76, 0, 1.88143, 0.154342, -0.851396, 1, 0
6, 14, 19, 117, 21, 77, 0, 1.318, 0.151255, -0.853555, 1, 0
6, 15, 22, 134, 22, 90, 0, 1.79314, 0.153955, -0.842926, 1, 0
6, 16, 23, 137, 23, 91, 0, 1.59484, 0.154859, -0.843357, 1, 0
6, 17, 20, 124, 22, 82, 0, 1.78081, 0.158231, -0.834969, 1, 0
6, 18, 19, 124, 23, 82, 0, 1.3905, 0.155602, -0.843783, 1, 0
6, 19, 22, 135, 24, 89, 0, 1.79326, 0.154658, -0.843022, 1, 0
6, 20, 20, 135, 23, 92, 0, 1.5559, 0.152801, -0.843507, 1, 0
6, 21, 21, 129, 24, 84, 0, 1.43246, 0.157577, -0.844559, 1, 0
