# format: trackId, is-primary, nHits, pt, eta, pdg, q
0, 1, 0, 0.145187, 3.84527, 2212, 3.000000
1, 1, 0, 0.341882, 2.8124, 2112, 0.000000
2, 1, 0, 0.25834, 3.47962, 2112, 0.000000
3, 1, 0, 0.158809, 3.85713, 2212, 3.000000
4, 1, 0, 0.872798, 0.639868, 2112, 0.000000
5, 1, 0, 0.149755, 3.83207, 2212, 3.000000
6, 1, 0, 0.159928, 3.8063, 2212, 3.000000
7, 1, 0, 0.368858, 2.97236, 2212, 3.000000
8, 1, 0, 1.01386, 0.66674, 2112, 0.000000
9, 1, 0, 0.218714, 3.09359, 2212, 3.000000
10, 1, 0, 0.102289, 4.1023, 2212, 3.000000
11, 1, 0, 0.647426, -0.906124, 2112, 0.000000
12, 1, 0, 0.128923, 3.90809, 2212, 3.000000
13, 1, 0, 0.16953, 3.76135, 2212, 3.000000
14, 1, 0, 0.154433, 3.6309, 2112, 0.000000
15, 1, 0, 0.0752743, 4.38561, 2112, 0.000000
16, 1, 0, 0.273464, 2.88925, 2212, 3.000000
17, 1, 0, 0.0599595, 4.81619, 2212, 3.000000
18, 1, 0, 0.12588, 3.99423, 2212, 3.000000
19, 1, 0, 0.178283, 3.51375, 2212, 3.000000
20, 1, 0, 0.0927589, 4.55198, 2212, 3.000000
21, 1, 0, 0.23244, 3.28555, 2212, 3.000000
22, 1, 0, 0.186242, 3.57838, 2112, 0.000000
23, 1, 0, 0.159014, 3.64139, 2212, 3.000000
24, 1, 0, 0.10387, 4.40255, 2212, 3.000000
25, 1, 15, 0.829729, -1.85791, 2212, 3.000000
26, 1, 0, 0.0578099, 4.54824, 2212, 3.000000
27, 1, 49, 1.13092, 0.789052, 2212, 3.000000
28, 1, 0, 0.334206, 2.90971, 2212, 3.000000
29, 1, 0, 0.352133, -1.76966, 2112, 0.000000
30, 1, 0, 0.243599, 3.27479, 2212, 3.000000
31, 1, 53, 1.51707, 0.699694, 2212, 3.000000
32, 1, 0, 0.205183, 3.77077, 2212, 3.000000
33, 1, 0, 0.117083, 3.94989, 2212, 3.000000
34, 1, 0, 0.108851, 4.09465, 2212, 3.000000
35, 1, 0, 0.128602, 3.23815, 2212, 3.000000
36, 1, 0, 0.217228, 3.45303, 2212, 3.000000
37, 1, 0, 0.216233, 3.36511, 2212, 3.000000
38, 1, 8, 0.491515, 1.98084, 2212, 3.000000
39, 1, 0, 1.15655, 0.784857, 2112, 0.000000
