#format: eventNumber, prototrackIndex, nMeasurements, nStates, nOutliers, nHoles, nSharedHits, chi2PerNDF, pT, eta, duplicate, fake
5, 0, 4, 21, 4, 13, 0, 1.72542, 0.118298, -1.73823, 1, 0
5, 1, 3, 13, 1, 9, 0, 0.0282054, 1.3689, -1.31159, 1, 0
5, 2, 16, 81, 3, 62, 0, 3.53778, 0.990412, -1.102, 1, 0
5, 3, 10, 64, 5, 49, 0, 2.45623, 1.25955, -1.08048, 1, 0
5, 4, 5, 22, 1, 16, 0, 3.47612, 1.3811, -1.28479, 1, 0
5, 5, 9, 55, 5, 41, 0, 2.38129, 1.52505, -1.09644, 1, 0
5, 6, 10, 43, 1, 32, 0, 2.41797, 0.835908, -1.11117, 1, 0
5, 7, 8, 35, 1, 26, 0, 2.6932, 1.36984, -1.11343, 1, 0
5, 8, 23, 108, 14, 71, 0, 2.36274, 1.41876, -1.26014, 1, 0
5, 9, 25, 125, 14, 86, 0, 1.95823, 0.789044, -1.26171, 1, 0
5, 10, 25, 125, 14, 86, 0, 2.09804, 0.762232, -1.26176, 1, 0
5, 11, 26, 132, 16, 90, 0, 1.84476, 0.882281, -1.26077, 0, 0
5, 12, 26, 133, 16, 91, 0, 1.99669, 0.792369, -1.26078, 1, 0
5, 13, 25, 124, 14, 85, 0, 1.888, 0.816948, -1.26173, 1, 0
5, 14, 23, 99, 10, 66, 0, 2.61236, 1.37931, -1.26245, 1, 0
5, 15, 23, 112, 13, 76, 0, 2.10036, 0.615821, -1.26343, 1, 0
5, 16, 25, 124, 13, 86, 0, 2.0445, 0.786267, -1.26175, 1, 0
5, 17, 24, 118, 12, 82, 0, 3.86267, 0.966025, -1.25635, 1, 0
5, 18, 24, 117, 12, 81, 0, 2.30133, 0.99511, -1.2615, 1, 0
5, 19, 23, 114, 12, 79, 0, 2.65532, 1.03198, -1.26079, 1, 0
5, 20, 30, 164, 17, 117, 0, 3.98671, 1.17037, -1.09851, 1, 0
5, 21, 25, 156, 20, 111, 0, 2.28867, 1.23304, -1.08557, 1, 0
5, 22, 23, 149, 19, 107, 0, 2.21524, 1.11162, -1.08507, 1, 0
5, 23, 31, 151, 11, 109, 0, 2.71466, 1.13131, -1.09815, 1, 0
5, 24, 17, 113, 16, 80, 0, 1.92021, 0.799519, -1.23993, 1, 0
5, 25, 17, 113, 16, 80, 0, 1.93107, 0.790586, -1.23993, 1, 0
5, 26, 32, 151, 10, 109, 0, 2.85414, 1.09233, -1.09837, 1, 0
5, 27, 31, 145, 10, 104, 0, 2.83405, 1.20406, -1.09779, 1, 0
5, 28, 31, 146, 10, 105, 0, 2.69619, 1.17401, -1.09775, 1, 0
5, 29, 32, 150, 11, 107, 0, 2.81455, 1.20246, -1.0982, 0, 0
5, 30, 28, 133, 11, 94, 0, 3.16744, 0.940017, -1.09782, 1, 0
5, 31, 17, 112, 17, 78, 0, 1.91336, 0.931108, -1.23995, 1, 0
5, 32, 15, 108, 16, 77, 0, 2.25157, 0.689606, -1.23869, 1, 0
5, 33, 19, 144, 20, 105, 0, 2.25007, 1.08291, -1.08421, 1, 0
5, 34, 13, 105, 17, 75, 0, 1.26794, 0.852924, -1.23872, 1, 0
5, 35, 15, 81, 9, 57, 0, 1.83196, 0.732975, -1.27063, 1, 0
5, 36, 13, 104, 16, 75, 0, 1.86245, 0.686748, -1.23898, 1, 0
5, 37, 26, 137, 11, 100, 0, 2.81808, 1.01068, -1.09771, 1, 0
5, 38, 10, 86, 14, 62, 0, 1.48531, 0.817979, -1.23846, 1, 0
5, 39, 14, 73, 7, 52, 0, 3.34391, 0.667336, -1.2673, 1, 0
5, 40, 15, 78, 8, 55, 0, 1.56163, 0.616757, -1.26601, 1, 0
5, 41, 15, 77, 7, 55, 0, 1.66716, 0.607275, -1.26608, 1, 0
5, 42, 16, 90, 10, 64, 0, 1.99386, 0.921291, -1.26358, 1, 0
5, 43, 15, 78, 8, 55, 0, 1.5655, 0.768881, -1.26604, 1, 0
5, 44, 16, 81, 9, 56, 0, 2.28142, 1.00808, -1.26872, 1, 0
