# format: x, y, z, (trackId)+
412.496, -45.2137, 223.034, 4976
413.144, -39.0452, 30.0016, 5467
414.754, -13.2181, 575.042, 413
414.962, -7.5, 25.4535, 5467
414.94, 7.89706, 567.66, 413
414.577, 18.2834, 499.501, 6054
413.342, 37.1662, 921.314, 329
382.656, 160.621, 742.748, 8175
381.819, 162.645, 130.077, 433
377.643, 172.024, 1340.41, 463
367.815, 192.133, 798.327, 2158
358.996, 208.125, 371.162, 439
351.337, 220.81, 774.698, 2158
343.404, 232.957, 1355.46, 7965
339.606, 238.549, 759.703, 2158
327.387, 254.975, 746.076, 2158
330.953, 250.41, 143.646, 5467
248.653, 332.265, 673.174, 2158
225.278, 348.545, 1218.14, 5679
215.03, 354.949, 1204.39, 5679
218.421, 352.831, 1500.18, 8271
216.566, 353.989, 16.7644, 418
195.3, 366.131, 427.041, 510
166.449, 380.125, 1168.38, 7940
55.8514, 411.191, 899.771, 6606
15.5455, 414.673, 925.564, 6018
9.56465, 414.881, 329.211, 6196
-166.009, 380.321, 1411.9, 6964
-171.831, 377.729, 6.85072, 3695
-178.596, 374.581, 1279.48, 8265
-195.805, 365.863, 194.728, 495
-234.9, 342.093, 1035.33, 5448
-248.44, 332.419, 1455.47, 7922
-327.659, 254.627, 345.963, 426
-334.797, 245.168, 1169.1, 7280
-333.703, 246.673, 819.311, 8066
-339.165, 239.155, 1144.62, 6607
-340.772, 236.859, 32.1326, 1216
-346.712, 228.053, 1523.93, 7209
-355.713, 213.812, 138.406, 1216
-364.093, 199.133, 336.779, 1216
-363.861, 199.57, 225.332, 1216
-367.529, 192.671, 669.172, 1216
-366.713, 194.207, 489.737, 1216
-372.101, 183.681, 990.542, 498
-371.746, 184.409, 857.223, 1216
-375.065, 177.604, 1046.61, 1216
-376.578, 174.415, 1242.25, 1216
-379.45, 167.966, 1440.02, 1216
-380.742, 165.063, 5.92941, 5811
-384.702, 155.559, 1566.29, 7281
-384.21, 156.777, 526.415, 5811
-412.889, 41.4782, 67.7858, 1216
-412.879, 41.5663, 118.864, 1216
-412.784, 42.4773, 98.5445, 1216
-413.303, 37.5319, 93.9929, 1216
-414.69, 15.0571, 151.569, 480
-414.962, -0.204268, 1242.75, 8236
-414.962, -6.37878, 27.5981, 984
-412.078, -49.188, 127.115, 472
-382.338, -161.408, 1102.58, 7813
-381.721, -162.864, 880.382, 7764
-360.521, -205.484, 922.503, 7813
-352.297, -219.275, 892.011, 8166
-352.854, -218.383, 566.289, 1713
-348.358, -225.578, 1072.04, 5278
-348.779, -224.904, 690.927, 7813
-349.589, -223.609, 481.909, 5278
-338.302, -240.344, 540.406, 5278
-336.941, -242.216, 252.286, 2121
-339.626, -238.522, 64.189, 1216
-339.731, -238.377, 27.4656, 1216
-337.816, -241.013, 10.0527, 1216
-335.448, -244.272, 322.174, 1141
-336.243, -243.178, 32.8027, 1216
-250.292, -331.046, 977.691, 6279
-213.853, -355.689, 1242.11, 7857
-197.193, -365.125, 118.861, 457
-183.743, -372.071, 1400.97, 6017
-176.67, -375.52, 412.199, 5278
-171.368, -377.935, 418.658, 5278
-159.017, -383.304, 1291.66, 8178
-155.947, -384.545, 613.953, 5278
-42.598, -412.771, 148.808, 1873
-38.2587, -413.227, 1428.26, 1873
-36.0077, -413.458, 824.229, 1873
-33.5797, -413.628, 182.456, 1873
-19.1994, -414.545, 220.893, 1873
-16.9163, -414.625, 639.3, 7813
-13.3558, -414.749, 376.284, 1140
19.971, -414.518, 244.696, 1874
12.562, -414.777, 242.98, 1874
19.6331, -414.53, 1130.17, 8169
23.0588, -414.363, 792.691, 7813
24.0872, -414.291, 217.167, 1874
22.5976, -414.396, 178.52, 1874
28.8086, -413.961, 193.415, 1874
52.4134, -411.674, 1190.64, 7734
160.733, -382.611, 465.746, 30
164.413, -381.032, 825.846, 505
241.635, -337.364, 1594, 89
241.406, -337.53, 1567.52, 89
244.187, -335.509, 1235.36, 5595
330.639, -250.812, 409.02, 412
334.078, -246.157, 1402.3, 7965
333.076, -247.536, 1329.76, 207
334.138, -246.075, 1297.95, 207
