# format: x, y, z, (trackId)+
413.566, -34.4614, 685.873, 599
410.97, 57.4232, 1104.06, 631
410.932, 57.6989, 310.161, 544
382.706, 160.498, 1557.66, 753
384.545, 155.947, 1229.95, 753
382.69, 160.537, 729.453, 8401
378.865, 169.278, 983.46, 8401
377.238, 172.933, 1458.38, 8401
377.569, 172.191, 721.967, 8401
376.697, 174.148, 1224.45, 8401
373.582, 180.645, 979.056, 8401
376.063, 175.557, 237.127, 8401
375.022, 177.692, 475.428, 8401
374.882, 177.979, 1272.08, 608
374.173, 179.433, 1254.82, 608
369.918, 188.177, 976.458, 8401
363.31, 200.606, 228.8, 8401
369.152, 189.619, 1453.68, 8401
367.636, 192.471, 471.091, 8401
369.581, 188.813, 718.48, 8401
369.409, 189.135, 1216.86, 8401
365.301, 196.861, 1215.52, 8401
364.561, 198.254, 361.116, 27
356.996, 211.59, 970.519, 8401
360.717, 205.145, 1448.78, 8401
357.637, 210.48, 472.71, 8401
362.735, 201.649, 712.878, 8401
361.079, 204.518, 0.269507, 8401
351.225, 220.99, 222.918, 8401
350.207, 222.62, 465.502, 8401
351.889, 219.927, 22.6495, 443
346.184, 228.835, 707.31, 8401
343.814, 232.349, 905.653, 6011
339.165, 239.155, 851.605, 81
335.15, 244.681, 841.008, 81
243.219, 336.213, 824.329, 8662
238.43, 339.692, 307.093, 1191
238.241, 339.84, 197.71, 530
210.812, 357.445, 435.319, 456
207.079, 359.6, 216.65, 550
199.92, 363.675, 413.176, 456
193.144, 367.278, 1082.09, 630
190.272, 368.805, 466.714, 1191
191.548, 368.126, 1062.92, 630
160.102, 382.866, 417.475, 1191
157.58, 383.885, 183.888, 134
10.5327, 414.848, 270.002, 522
12.562, 414.777, 1161.11, 427
6.4444, 414.962, 1176.56, 427
2.5, 414.962, 1489.73, 38
-1.901, 414.962, 1469.19, 38
-6.75427, 414.962, 566.565, 619
-32.1618, 413.727, 1631.7, 7698
-34.3794, 413.572, 1043.46, 4382
-171.521, 377.867, 893.827, 609
-190.532, 368.667, 551.495, 620
-200.268, 363.49, 1479.44, 7046
-228.588, 346.35, 9.77343, 498
-327.389, 254.973, 1308.67, 7757
-334.194, 245.998, 1555.85, 549
-339.158, 239.166, 376.46, 1844
-338.502, 240.068, 200.184, 1531
-350.961, 221.412, 790.671, 7597
-353.58, 217.221, 195.029, 1529
-359.438, 207.361, 1444.82, 5271
-367.803, 192.156, 150.444, 7963
-411.986, 50.0663, 1426.53, 7569
-413.536, 34.892, 10.4376, 2390
-414.134, 26.3363, 859.058, 7633
-414.522, 19.8613, 1116.49, 470
-414.565, 18.6352, 1083.22, 470
-414.839, 10.7842, 167.768, 426
-414.962, 3.36544, 486.881, 508
-414.654, -16.0761, 1581.06, 6105
-414.588, -17.9664, 270.105, 483
-378.223, -170.72, 1073.99, 6906
-362.072, -202.798, 1044.49, 419
-357.598, -210.548, 1090.52, 6204
-358.488, -209.006, 1063.76, 6204
-348.641, -225.124, 116.501, 415
-343.15, -233.334, 327.629, 420
-343.01, -233.541, 68.9666, 2391
-335.942, -243.592, 408.341, 531
-254.539, -327.727, 687.033, 552
-232.916, -343.431, 862.205, 527
-222.077, -350.546, 299.842, 559
-194.834, -366.379, 1574.63, 6502
-196.217, -365.644, 192.668, 512
-185.697, -371.118, 1588.71, 6502
-177.9, -374.92, 925.619, 541
-171.454, -377.897, 1607.73, 6502
-173.455, -377.006, 323.711, 7754
-157.914, -383.75, 1626.39, 6502
-49.7153, -412.023, 589.511, 7704
7.67041, -414.948, 1462.96, 8245
20.0625, -414.515, 793.913, 407
21.826, -414.45, 68.3063, 7704
53.0908, -411.579, 1197.14, 7508
205.419, -360.559, 519.87, 452
208.849, -358.578, 7.2559, 2187
217.686, -353.29, 1435.92, 578
214.03, -355.574, 1419.17, 578
222.983, -349.979, 230.206, 2187
222.505, -350.278, 1453.53, 578
225.723, -348.283, 6.03616, 642
232.512, -343.704, 1242.43, 7049
246.491, -333.836, 558.443, 2187
248.994, -332.017, 1138.77, 571
251.459, -330.134, 398.966, 477
327.253, -255.146, 1181.78, 2187
349.573, -223.633, 814.149, 7752
352.354, -219.183, 779.056, 569
360.561, -205.416, 1197.05, 2187
361.865, -203.156, 922.293, 2187
364.819, -197.768, 1200.04, 2187
363.348, -200.535, 1097.99, 2187
373.196, -181.435, 315.085, 603
384.216, -156.762, 683.733, 2187
413.815, -30.8981, -709.426, 510
414.833, -10.9494, -1311.51, 922
414.962, -3.26883, -1318.32, 922
414.962, -2.5, -780.279, 579
414.962, 3.46013, -769.465, 579
414.8, 11.9045, -209.548, 459
383.804, 157.78, -216.542, 8401
384.545, 155.947, -1474.93, 232
383.713, 158.007, -306.425, 8401
380.29, 166.079, -1492.16, 2658
377.709, 171.877, -236.668, 8401
381.632, 163.064, -305.895, 8401
379.309, 168.282, -830.218, 573
374.052, 179.681, -221.771, 8401
366.172, 195.224, -226.182, 8401
367.624, 192.493, -105.893, 8401
369.008, 189.889, -198.518, 8401
361.059, 204.552, -102.823, 8401
360.984, 204.683, -197.793, 8401
353.22, 217.798, -226.174, 8401
352.224, 219.391, -100.299, 8401
351.658, 220.297, -195.071, 8401
350.333, 222.418, -1.58688, 8401
341.053, 236.442, -98.3935, 8401
344.479, 231.363, -194.139, 8401
345.672, 229.594, -638.468, 478
345.068, 230.489, -1200.05, 5073
333.86, 246.458, -219.803, 8401
333.32, 247.201, -441.499, 8401
329.02, 252.885, -322.484, 8401
330.375, 251.151, -399.453, 8401
327.326, 255.052, -437.953, 8401
252.847, 329.05, -1534.13, 1916
250.236, 331.089, -1461.57, 1916
251.151, 330.375, -1499.45, 1916
246.678, 333.7, -1057.52, 1947
246.424, 333.884, -537.495, 1947
245.184, 334.785, -570.293, 1902
234.577, 342.311, -179.86, 76
219.79, 351.975, -1215.2, 6226
218.158, 352.995, -1477.52, 1947
204.655, 361, -1063.45, 199
192.858, 367.43, -1043.08, 199
190.096, 368.898, -506.732, 824
193.419, 367.132, -1024.07, 199
183.072, 372.398, -259.143, 476
163.244, 381.552, -1347.52, 5343
161.721, 382.212, -283.88, 551
48.0784, 412.195, -1332.8, 1947
47.4226, 412.264, -1361.9, 1947
42.4773, 412.784, -1357.52, 1947
22.3432, 414.413, -911.591, 432
-0.566216, 414.962, -431.772, 406
-10.638, 414.844, -894.577, 1947
-7.56814, 414.951, -926.316, 1947
-16.8254, 414.628, -1101.04, 7292
-12.562, 414.777, -928.921, 1947
-13.2349, 414.753, -915.466, 1947
-28.6962, 413.969, -314.671, 545
-49.5349, 412.042, -51.3739, 488
-55.4418, 411.249, -331.427, 1947
-157.97, 383.728, -156.07, 1897
-165.935, 380.354, -287.028, 491
-206.908, 359.699, -491.264, 1619
-208.273, 358.911, -1228.93, 349
-214.331, 355.386, -1340.58, 635
-214.873, 355.047, -1322.41, 635
-330.558, 250.916, -72.8024, 461
-342.221, 234.71, -236.605, 2074
-351.362, 220.771, -285.231, 425
-358.427, 209.111, -566.886, 2074
-366.809, 194.025, -1439.55, 3129
-368.904, 190.085, -910.488, 2074
-369.7, 188.603, -1105.48, 2674
-375.592, 176.524, -1308.95, 2074
-375.845, 176.005, -28.9066, 585
-376.015, 175.68, -183.094, 7103
-412.019, 49.7507, -694.143, 3273
-413.25, 38.0362, -649.421, 3273
-414.514, 20.0789, -1191.64, 626
-414.962, 7.53941, -1530.82, 421
-413.628, -33.5786, -1439.43, 7985
-413.72, -32.2581, -660.208, 3273
-413.522, -35.0912, -799, 3273
-413.339, -37.193, -73.9291, 507
-413.303, -37.5319, -765.933, 3273
-382.037, -162.156, -216.728, 4422
-366.535, -194.54, -1221.22, 5081
-367.834, -192.097, -239.125, 6204
-362.966, -201.25, -196.55, 6204
-361.203, -204.303, -1574.14, 7985
-357.543, -210.642, -1510.2, 6204
-354.794, -215.279, -46.8115, 1845
-337.882, -240.922, -1379.53, 3374
-336.935, -242.226, -798.724, 3524
