# format: x, y, z, (trackId)+
411.241, -55.4973, 827.998, 5306
411.07, -56.7147, 547.714, 7235
414.651, -16.1508, 1005.42, 640
414.465, -21.4825, 789.055, 649
414.904, -8.90752, 633.276, 3279
413.172, 38.7783, 185.968, 824
382.883, 160.061, 438.564, 792
379.763, 167.263, 281.837, 589
377.988, 171.248, 563.9, 844
373.619, 180.569, 342.426, 826
372.826, 182.195, 598.189, 499
355.745, 213.757, 201.971, 8194
345.63, 229.657, 708.842, 1235
344.775, 230.924, 168.775, 667
204.423, 361.134, 60.4554, 584
203.728, 361.535, 4.24809, 2051
194.954, 366.315, 1629.06, 60
188.837, 369.568, 1159.57, 282
188.494, 369.753, 167.959, 750
178.034, 374.855, 464.856, 410
165.045, 380.75, 457.794, 410
174.603, 376.495, 105.975, 512
47.1925, 412.288, 119.882, 660
38.8231, 413.168, 238.409, 725
28.1046, 414.011, 155.35, 658
19.6707, 414.529, 730.111, 706
17.5231, 414.604, 506.984, 34
12.562, 414.777, 743.111, 706
7.5, 414.962, 1187.79, 878
1.56684, 414.962, 1174.35, 878
-3.29222, 414.962, 436.489, 731
-10.0805, 414.863, 436.643, 327
-57.7217, 410.928, 440.417, 3812
-52.3156, 411.688, 430.58, 3812
-156.102, 384.482, 1262.74, 465
-165.063, 380.742, 1194.54, 465
-165.063, 380.742, 1169.45, 465
-170.419, 378.358, 1177.2, 465
-180.377, 373.713, 420.663, 5067
-199.816, 363.73, 416.53, 661
-189.906, 368.999, 1316.56, 8176
-229.467, 345.758, 705.858, 7565
-246.215, 334.036, 710.319, 829
-331.355, 249.906, 1130.64, 91
-332.998, 247.644, 979.484, 8552
-342.368, 234.493, 154.649, 485
-346.625, 228.182, 186.435, 653
-346.089, 228.976, 819.385, 859
-352.178, 219.464, 1488.27, 8109
-353.958, 216.616, 1230.12, 2502
-352.272, 219.315, 312.818, 17
-377.101, 173.241, 3.77828, 321
-378.391, 170.345, 61.8366, 3772
-381.538, 163.276, 1589.86, 342
-381.684, 162.948, 1569.22, 342
-380.742, 165.063, 195.007, 113
-384.749, 155.442, 42.8743, 3772
-382.618, 160.715, 595.581, 4177
-383.511, 158.505, 181.916, 113
-411.114, 56.3997, 567.277, 830
-411.554, 53.2712, 194.087, 375
-411.859, 51.097, 218.775, 572
