# format: trackId, is-primary, nHits, pt, eta, pdg, q
105, 1, 53, 1.3266, 0.767326, 2212, 3.000000
106, 1, 0, 0.14376, 3.97717, 2112, 0.000000
107, 1, 0, 0.571538, 2.68609, 2212, 3.000000
108, 1, 0, 0.588175, 2.68298, 2112, 0.000000
109, 1, 0, 0.209074, 3.36264, 2112, 0.000000
110, 1, 53, 0.390288, -0.775418, 2212, 3.000000
111, 1, 55, 0.53919, -1.09206, 2212, 3.000000
112, 1, 0, 0.252223, 3.22746, 2112, 0.000000
113, 1, 51, 0.596149, 0.161738, 2212, 3.000000
114, 1, 0, 0.38225, 2.26363, 2112, 0.000000
115, 1, 0, 0.868503, 1.72342, 2112, 0.000000
116, 1, 0, 0.112149, 4.35294, 2112, 0.000000
117, 1, 18, 0.671801, -1.81947, 2212, 3.000000
118, 1, 0, 0.347637, 3.13655, 2112, 0.000000
119, 1, 0, 0.11859, 3.93534, 2112, 0.000000
120, 1, 0, 0.612816, 0.843969, 2112, 0.000000
121, 1, 73, 0.968665, 0.587466, 2212, 3.000000
122, 1, 0, 0.0937435, 4.41362, 2112, 0.000000
123, 1, 0, 0.220952, 3.50351, 2112, 0.000000
124, 1, 0, 0.108594, 4.10142, 2112, 0.000000
125, 1, 0, 0.239029, 3.45498, 2112, 0.000000
126, 1, 0, 0.253267, 3.20779, 2112, 0.000000
127, 1, 0, 1.36594, 0.824569, 2112, 0.000000
128, 1, 0, 0.119841, 3.81631, 2112, 0.000000
129, 1, 0, 0.126864, 4.2476, 2112, 0.000000
130, 1, 12, 1.29932, -1.55351, 2212, 3.000000
131, 1, 0, 0.902151, -0.161617, 2112, 0.000000
132, 1, 0, 0.574738, 2.40847, 2212, 3.000000
133, 1, 0, 0.0636234, 4.63151, 2112, 0.000000
134, 1, 0, 0.228114, 3.27079, 2112, 0.000000
135, 1, 0, 0.157929, 3.54916, 2112, 0.000000
136, 1, 0, 0.35533, 2.27986, 2212, 3.000000
137, 1, 0, 0.178026, 3.67556, 2112, 0.000000
138, 1, 0, 0.160069, 3.68431, 2112, 0.000000
139, 1, 0, 0.0920958, 4.3386, 2112, 0.000000
140, 1, 0, 0.164776, 3.59037, 2112, 0.000000
141, 1, 0, 0.549806, 2.76319, 2112, 0.000000
142, 1, 0, 0.298619, 3.21834, 2112, 0.000000
143, 1, 0, 0.658847, 0.70004, 2112, 0.000000
144, 1, 0, 0.121149, 4.27413, 2112, 0.000000
145, 1, 0, 0.13228, 3.76757, 2112, 0.000000
146, 1, 54, 0.487034, -0.673711, 2212, 3.000000
147, 1, 0, 0.820579, 0.898982, 2112, 0.000000
148, 1, 0, 0.36142, -2.95958, 2112, 0.000000
149, 1, 0, 0.13712, 3.91434, 2112, 0.000000
150, 1, 0, 0.120054, 4.02979, 2112, 0.000000
151, 1, 0, 0.224833, 3.51059, 2112, 0.000000
152, 1, 55, 1.14183, 1.19317, 2212, 3.000000
153, 1, 0, 0.973081, 0.126173, 2112, 0.000000
154, 1, 0, 1.01511, 1.31318, 3212, 0.000000
155, 1, 0, 0.209934, 3.43294, 2112, 0.000000
156, 1, 0, 1.62968, 0.398709, 2112, 0.000000
157, 1, 0, 0.238833, 3.32025, 2112, 0.000000
158, 1, 0, 0.533879, 2.12012, 2112, 0.000000
159, 1, 0, 0.0669632, 4.83656, 2112, 0.000000
160, 1, 0, 0.318734, 3.1793, 2112, 0.000000
161, 1, 0, 0.0772117, 4.38513, 2112, 0.000000
162, 1, 0, 0.470387, -1.43694, 2112, 0.000000
163, 1, 0, 0.564059, 2.24348, 2112, 0.000000
164, 1, 0, 0.591581, 2.32384, 2112, 0.000000
165, 1, 0, 0.163817, 3.49519, 2112, 0.000000
166, 1, 0, 0.224733, 3.36098, 2112, 0.000000
167, 1, 40, 0.898589, -1.0062, 2212, 3.000000
168, 1, 0, 0.558282, 1.61178, 2112, 0.000000
169, 1, 0, 0.246174, 3.01486, 2112, 0.000000
170, 1, 0, 1.08683, 0.840274, 2112, 0.000000
171, 1, 0, 0.202162, 3.6228, 2112, 0.000000
172, 1, 0, 0.251889, 3.45666, 2112, 0.000000
173, 1, 0, 0.148171, 3.75828, 2112, 0.000000
174, 1, 0, 1.44883, 0.210368, 3122, 0.000000
175, 1, 0, 0.320192, 0.590548, 2112, 0.000000
176, 1, 0, 0.688438, 0.439523, 2112, 0.000000
