# format: x, y, z, (trackId)+
411.543, -53.349, 1463.89, 9882
412.257, -47.4862, 489.732, 12
413.551, -34.6789, 612.527, 4244
413.687, -32.7319, 307.656, 527
413.57, -34.3988, 244.921, 2120
414.106, -26.7396, 745.397, 8888
413.7, -32.5489, 730.466, 8888
414.108, -26.7039, 69.3142, 529
414.547, -19.1532, 291.079, 527
414.54, -19.3442, 1209.78, 8082
414.962, 6.64014, 613.409, 751
414.962, 3.37645, 512.912, 1035
414.962, 6.00247, 910.582, 9469
414.147, 26.1478, 86.5967, 853
412.038, 49.5728, 1289.35, 532
377.892, 171.465, 713.888, 9788
380.742, 165.063, 701.953, 69
376.697, 174.148, 1462.23, 9788
376.697, 174.148, 1222.74, 9788
374.549, 178.662, 1438.84, 9788
375.534, 176.642, 1284.32, 9788
374.12, 179.542, 703.044, 9788
375.119, 177.493, 1628.27, 9788
374.335, 179.101, 27.5131, 9788
375.238, 177.249, 1393.95, 9788
375.151, 177.428, 1360.53, 9788
375.034, 177.666, 1146.29, 9788
374.583, 178.591, 1057.96, 9788
373.929, 179.933, 1029.38, 9788
376.279, 175.115, 982.082, 9788
373.787, 180.224, 911.509, 9788
374.49, 178.782, 889.814, 9788
373.846, 180.104, 826.081, 9788
373.345, 181.13, 601.04, 9788
373.895, 180.002, 187.624, 9788
373.892, 180.008, 133.706, 9788
372.746, 182.357, 80.8688, 9788
373.911, 179.969, 1550.57, 9788
373.326, 181.168, 1529.52, 9788
374.549, 178.662, 1470.39, 9788
373.704, 180.395, 1407.43, 9788
373.873, 180.049, 1324.32, 9788
374.549, 178.662, 1236.34, 9788
374.549, 178.662, 1214.65, 9788
374.549, 178.662, 1117.16, 9788
373.184, 181.46, 1097.42, 9788
374.549, 178.662, 1000, 9788
373.52, 180.772, 949.48, 9788
372.15, 183.581, 858.041, 9788
374.549, 178.662, 804.101, 9788
372.682, 182.49, 788.516, 9788
372.756, 182.338, 755.943, 9788
373.219, 181.389, 728.458, 9788
372.882, 182.08, 664.804, 9788
373.195, 181.438, 630.456, 9788
372.207, 183.463, 558.514, 9788
374.549, 178.662, 464.327, 9788
374.549, 178.662, 447.98, 9788
371.633, 184.641, 393.244, 9788
372.362, 183.145, 1574.76, 9788
371.141, 185.649, 1503.43, 9788
370.844, 186.257, 1458.58, 9789
372.254, 183.368, 1255.04, 9788
371.847, 184.202, 1179.03, 9788
372.362, 183.145, 927.794, 9788
370.113, 187.758, 507.536, 9788
372.362, 183.145, 457.479, 9788
370.285, 187.405, 429.411, 9788
370.176, 187.628, 1586.21, 9788
370.176, 187.628, 934.847, 9788
370.176, 187.628, 706.909, 9788
370.176, 187.628, 693.965, 9788
370.176, 187.628, 653.744, 9788
370.176, 187.628, 484.586, 9788
370.176, 187.628, 303.53, 9788
368.899, 190.094, 46.2086, 9788
367.437, 192.844, 210.512, 9788
367.51, 192.707, 129.516, 5078
368.511, 190.825, 273.015, 9788
369.272, 189.394, 344.482, 9788
367.834, 192.097, 372.063, 9788
366.766, 194.106, 3.4535, 9788
365.488, 196.509, 361.463, 9788
360.296, 205.874, 148.16, 5078
361.164, 204.37, 253.34, 809
356.901, 211.754, 614.168, 45
357.994, 209.861, 38.8572, 810
349.236, 224.173, 498.281, 206
350.249, 222.552, 369.879, 115
349.397, 223.915, 189.144, 603
348.375, 225.55, 29.4273, 679
347.624, 226.7, 953.677, 1042
343.852, 232.292, 588.671, 774
338.265, 240.395, 641.733, 725
335.824, 243.755, 244.49, 889
336.934, 242.227, 286.103, 2395
332.482, 248.354, 616.55, 725
333.96, 246.319, 91.4599, 9362
333.67, 246.719, 54.0458, 9362
332.827, 247.879, 18.4113, 9362
330.679, 250.761, 1633.65, 9749
246.566, 333.781, 877.155, 797
247.509, 333.096, 794.801, 9884
244.543, 335.251, 1448.31, 1084
245.502, 334.554, 1236.83, 9362
247.201, 333.32, 1220.54, 9362
247.201, 333.32, 1201.09, 9362
247.201, 333.32, 1177.76, 9362
246.933, 333.514, 1142.86, 9362
246.333, 333.95, 1120.7, 9362
241.378, 337.55, 1101.54, 9362
241.763, 337.271, 1426.36, 1084
243.178, 336.243, 1155.71, 9362
216.447, 354.064, 316.283, 845
208.145, 358.985, 1528.43, 1737
198.866, 364.235, 804.64, 730
194.944, 366.32, 1326.81, 751
182.258, 372.795, 37.8173, 4237
180.801, 373.505, 333.699, 71
166.296, 380.193, 25.4201, 422
169.268, 378.87, 247.634, 779
159.076, 383.281, 1611.45, 936
46.6405, 412.346, 485.455, 900
37.5643, 413.3, 485.36, 900
33.2156, 413.653, 483.344, 900
27.9729, 414.02, 483.565, 900
22.4308, 414.407, 487.083, 7107
25.1895, 414.214, 107.21, 806
16.3082, 414.646, 1096.52, 9124
2.48495, 414.962, 550.349, 500
-1.53372, 414.962, 142.709, 458
-9.98474, 414.867, 1213.83, 9362
-15.0319, 414.691, 1217.28, 3645
-8.70934, 414.911, 511.196, 500
-9.42855, 414.886, 1130.52, 215
-11.8298, 414.802, 355.503, 476
-13.4062, 414.747, 187.189, 4346
-16.1716, 414.651, 288.145, 547
-27.3516, 414.063, 131.195, 660
-41.5141, 412.885, 1218.27, 3645
-48.7319, 412.126, 397.307, 2031
-55.1982, 411.283, 726.107, 9362
-156.445, 384.343, 579.877, 4346
-163.995, 381.218, 804.528, 4346
-170.183, 378.463, 570.569, 4346
-170.927, 378.131, 100.207, 3284
-170.311, 378.406, 184.106, 633
-185.575, 371.177, 825.475, 4551
-188.942, 369.512, 467.649, 654
-197.131, 365.158, 359.479, 674
-205.478, 360.524, 879.37, 712
-209.78, 358.041, 797.3, 5345
-219.477, 352.171, 338.757, 4346
-234.845, 342.13, 1145.94, 8139
-232.666, 343.6, 481.096, 769
-240.372, 338.282, 343.673, 4346
-240.95, 337.862, 20.9891, 4346
-241.39, 337.542, 284.846, 804
-247.037, 333.439, 762.331, 859
-328.544, 253.493, 1330.45, 3848
-330.332, 251.205, 313.236, 695
-344.789, 230.903, 995.367, 1295
-348.844, 224.8, 975.648, 1295
-348.501, 225.349, 175.544, 580
-367.385, 192.942, 5.40472, 5452
-373.295, 181.233, 126.017, 471
-381.701, 162.909, 249.749, 594
-412.387, 46.2548, 1073.22, 741
-413.397, 36.6411, 650.159, 865
-413.499, 35.4157, 83.7624, 423
-414.508, 20.2635, 473.831, 7011
-414.712, 14.4279, 478.759, 548
-414.821, 11.3068, 268.635, 970
-414.896, 9.15412, 982.699, 898
-414.908, 8.81043, 611.443, 555
-414.962, 4.64321, 37.1125, 848
-414.962, -2.00474, 559.009, 940
-414.539, -19.3848, 1492.75, 2060
-414.237, -24.8653, 391.8, 4552
-413.444, -36.1942, 140.044, 623
-412.514, -45.0463, 926.593, 752
-412.878, -41.5815, 508.801, 284
-412.052, -49.4389, 1355.63, 2951
-411.619, -52.8103, 277.573, 5253
-411.688, -52.3156, 948.973, 752
-378.621, -169.827, 810.9, 2119
-371.291, -185.342, 792.639, 2119
-361.05, -204.568, 901.971, 877
-356.857, -211.831, 248.242, 996
-355.314, -214.445, 206.364, 8195
-353.252, -217.747, 1501.78, 822
-353.196, -217.835, 740.258, 9880
-352.279, -219.303, 1481.35, 822
-349.401, -223.909, 902.195, 880
-350.595, -221.998, 881.914, 880
-343.993, -232.083, 1205.94, 8195
-334.679, -245.33, 790.885, 8195
-336.668, -242.592, 250.381, 298
-336.08, -243.403, 176.529, 590
-334.97, -244.93, 48.1709, 5452
-328.757, -253.222, 1442.61, 8195
-328.896, -253.044, 672.676, 1011
-329.859, -251.81, 154.817, 590
-255.052, -327.326, 711.902, 8195
-253.734, -328.357, 698.845, 8195
-255.052, -327.326, 677.988, 8195
-254.204, -327.989, 650.594, 8195
-254.552, -327.717, 604.101, 8195
-251.151, -330.375, 583.837, 8195
-249.604, -331.574, 1089.57, 8195
-247.201, -333.32, 1219.13, 8195
-247.201, -333.32, 1150.33, 8195
-233.08, -343.32, 944.181, 956
-231.613, -344.31, 718.464, 538
-230.099, -345.332, 29.0889, 2298
-221.15, -351.125, 333.413, 5675
-203.653, -361.578, 40.5966, 708
-203.314, -361.774, 1047.88, 8338
-189.984, -368.958, 528.354, 2119
-198.713, -364.316, 1322.55, 870
-195.883, -365.821, 473.82, 2974
-198.791, -364.275, 22.4605, 708
-185.202, -371.359, 455.101, 2974
-188.603, -369.7, 424.965, 593
-177.038, -375.341, 704.049, 6240
-181.871, -372.984, 301.121, 6240
-176.165, -375.767, 298.736, 6240
-179.373, -374.202, 226.247, 408
-173.59, -376.946, 508.991, 2119
-160.922, -382.535, 1061.04, 5345
-157.724, -383.827, 1039.04, 5345
-56.8287, -411.054, 102.194, 5345
-41.8186, -412.853, 897.254, 3645
-43.2575, -412.702, 319.264, 972
-33.7733, -413.614, 1023.27, 6240
-26.8062, -414.101, 660.013, 6240
-26.7386, -414.106, 1392.13, 6240
-33.6089, -413.626, 27.5714, 977
-16.6464, -414.634, 239.418, 6240
-4.26971, -414.962, 693.138, 634
4.87629, -414.962, 997.561, 4607
12.2319, -414.788, 1368.54, 552
14.943, -414.694, 1388.61, 552
22.21, -414.423, 902.846, 3775
27.7389, -414.036, 881.598, 3775
25.3412, -414.204, 848.067, 3775
31.9678, -413.74, 830.924, 3775
35.0363, -413.526, 769.919, 3775
30.7964, -413.822, 662.833, 8339
35.0368, -413.526, 805.945, 651
36.4269, -413.42, 878.997, 3775
46.385, -412.373, 872.499, 3775
46.9695, -412.312, 840.529, 3775
38.543, -413.197, 761.781, 3775
40.1043, -413.033, 1456.3, 8843
43.3517, -412.692, 4.22828, 861
42.8536, -412.744, 784.993, 651
45.1827, -412.499, 39.4381, 506
56.5975, -411.086, 844.262, 3775
51.5951, -411.789, 894.258, 3775
164.41, -381.033, 253.637, 6241
