#format: eventNumber, prototrackIndex, nMeasurements, nStates, nOutliers, nHoles, nSharedHits, chi2PerNDF, pT, eta, duplicate, fake
1, 0, 6, 23, 1, 16, 0, 5.10934, 0.201767, -1.26961, 0, 0
1, 1, 11, 39, 4, 24, 0, 2.51823, 0.280428, 1.37292, 1, 0
1, 2, 13, 92, 14, 65, 0, 2.38256, 0.244732, 1.37753, 0, 0
1, 3, 2, 10, 3, 5, 0, 2.26349, 0.170402, 1.50058, 1, 0
1, 4, 5, 22, 5, 12, 0, 0.796204, 0.269452, 1.43273, 1, 0
1, 5, 11, 91, 12, 68, 0, 2.40503, 0.207402, 1.3565, 1, 0
1, 6, 9, 75, 10, 56, 0, 2.27263, 0.237798, 1.35236, 1, 0
1, 7, 12, 87, 13, 62, 0, 2.12453, 0.184696, 1.36833, 1, 0
1, 8, 11, 86, 14, 61, 0, 1.51285, 0.184277, 1.36759, 1, 0
1, 9, 12, 87, 13, 62, 0, 2.2075, 0.190885, 1.36854, 1, 0
1, 10, 8, 69, 10, 51, 0, 1.93023, 0.246906, 1.39676, 1, 0
1, 11, 9, 38, 2, 27, 0, 0.500181, 0.337081, -0.411977, 1, 0
1, 12, 11, 47, 3, 33, 0, 1.53616, 0.405229, -0.40293, 1, 0
1, 13, 6, 24, 2, 16, 0, 0.230701, 0.30178, -0.427547, 1, 0
1, 14, 4, 22, 2, 16, 0, 2.70169, 0.232978, 1.28156, 1, 0
1, 15, 6, 25, 1, 18, 0, 3.99678, 0.203879, 1.29774, 1, 0
1, 16, 5, 22, 2, 15, 0, 3.9823, 0.240845, 1.30315, 1, 0
1, 17, 23, 118, 7, 88, 0, 0.925128, 0.329682, -0.411769, 1, 0
1, 18, 8, 45, 2, 35, 0, 3.26665, 0.640064, -0.405823, 1, 0
1, 19, 17, 91, 7, 67, 0, 0.72203, 0.362703, -0.413284, 1, 0
1, 20, 4, 17, 1, 12, 0, 0.442881, 0.216298, 1.27557, 1, 0
1, 21, 3, 25, 4, 18, 0, 0.0699655, 0.241026, 1.30118, 1, 0
1, 22, 30, 137, 7, 100, 0, 1.31169, 0.33615, -0.411075, 1, 0
1, 23, 32, 144, 7, 105, 0, 1.8104, 0.32426, -0.411311, 1, 0
1, 24, 30, 135, 7, 98, 0, 1.21951, 0.354667, -0.411968, 1, 0
1, 25, 28, 131, 7, 96, 0, 1.05174, 0.342772, -0.412383, 1, 0
1, 26, 30, 134, 7, 97, 0, 0.988372, 0.351985, -0.411783, 1, 0
1, 27, 28, 132, 7, 97, 0, 1.26175, 0.334214, -0.412426, 1, 0
1, 28, 30, 135, 7, 98, 0, 1.06617, 0.357538, -0.411771, 1, 0
1, 29, 28, 132, 8, 96, 0, 1.96923, 0.378632, -0.410263, 1, 0
1, 30, 18, 80, 2, 60, 0, 2.31613, 0.519489, -0.405709, 1, 0
1, 31, 27, 127, 7, 93, 0, 1.14637, 0.344395, -0.410846, 1, 0
1, 32, 28, 129, 7, 94, 0, 0.964326, 0.346734, -0.410853, 1, 0
1, 33, 26, 126, 8, 92, 0, 2.38401, 0.36536, -0.409727, 1, 0
1, 34, 25, 124, 7, 92, 0, 1.11991, 0.333708, -0.412497, 1, 0
1, 35, 26, 125, 7, 92, 0, 1.39749, 0.322296, -0.411048, 1, 0
1, 36, 24, 119, 8, 87, 0, 1.66502, 0.385152, -0.411273, 1, 0
1, 37, 25, 123, 8, 90, 0, 1.76127, 0.384884, -0.410718, 1, 0
1, 38, 42, 177, 7, 128, 0, 1.35528, 0.338354, -0.411404, 1, 0
1, 39, 46, 183, 7, 130, 0, 3.16411, 0.354578, -0.410892, 0, 0
1, 40, 41, 174, 7, 126, 0, 1.26893, 0.338948, -0.410485, 1, 0
1, 41, 45, 179, 7, 127, 0, 2.20537, 0.355221, -0.41006, 1, 0
1, 42, 40, 178, 8, 130, 0, 3.15474, 0.327325, -0.41147, 1, 0
1, 43, 45, 178, 7, 126, 0, 2.04981, 0.346415, -0.411248, 1, 0
1, 44, 41, 171, 7, 123, 0, 1.6407, 0.339254, -0.411361, 1, 0
1, 45, 42, 171, 7, 122, 0, 1.45233, 0.349862, -0.411152, 1, 0
1, 46, 42, 175, 7, 126, 0, 2.52892, 0.332628, -0.410676, 1, 0
1, 47, 42, 170, 7, 121, 0, 1.44086, 0.346468, -0.410729, 1, 0
1, 48, 42, 171, 7, 122, 0, 1.30394, 0.347435, -0.411139, 1, 0
1, 49, 40, 170, 7, 123, 0, 1.44692, 0.334262, -0.410768, 1, 0
1, 50, 41, 174, 7, 126, 0, 2.15803, 0.333701, -0.410498, 1, 0
1, 51, 42, 170, 7, 121, 0, 1.55689, 0.351002, -0.411148, 1, 0
1, 52, 40, 169, 8, 121, 0, 1.75277, 0.357292, -0.410448, 1, 0
1, 53, 41, 172, 7, 124, 0, 2.56113, 0.333487, -0.411336, 1, 0
1, 54, 39, 167, 7, 121, 0, 2.16475, 0.330468, -0.410182, 1, 0
1, 55, 38, 164, 7, 119, 0, 1.38687, 0.338163, -0.411101, 1, 0
1, 56, 29, 103, 1, 73, 0, 3.38954, 0.275977, -0.408123, 1, 0
1, 57, 34, 152, 7, 111, 0, 1.31435, 0.335903, -0.410115, 1, 0
1, 58, 24, 104, 3, 77, 0, 4.77081, 0.476655, -0.40666, 1, 0
1, 59, 37, 158, 7, 114, 0, 1.13266, 0.346497, -0.410735, 1, 0
1, 60, 37, 157, 7, 113, 0, 1.29025, 0.349406, -0.41078, 1, 0
1, 61, 38, 163, 8, 117, 0, 1.67384, 0.357116, -0.410225, 1, 0
1, 62, 36, 152, 7, 109, 0, 1.34587, 0.342181, -0.41008, 1, 0
1, 63, 36, 154, 7, 111, 0, 2.11638, 0.355323, -0.410158, 1, 0
1, 64, 32, 143, 7, 104, 0, 0.997432, 0.337656, -0.411355, 1, 0
1, 65, 32, 143, 7, 104, 0, 1.0565, 0.336799, -0.411281, 1, 0
1, 66, 4, 23, 5, 14, 0, 1.3253, 0.254373, 1.62799, 1, 0
1, 67, 2, 9, 2, 5, 0, 3.3183, 0.282122, 1.7685, 1, 0
1, 68, 2, 9, 2, 5, 0, 2.69029, 0.251162, 1.7682, 1, 0
1, 69, 5, 40, 9, 26, 0, 1.84658, 0.309456, 1.61713, 1, 0
1, 70, 5, 23, 3, 15, 0, 4.75298, 0.319702, 1.69913, 1, 0
1, 71, 8, 29, 2, 19, 0, 3.7938, 0.236737, 1.69232, 1, 0
1, 72, 5, 23, 3, 15, 0, 4.81467, 0.228521, 1.69821, 1, 0
1, 73, 4, 23, 5, 14, 0, 2.26416, 0.221053, 1.6898, 1, 0
1, 74, 4, 23, 5, 14, 0, 2.22676, 0.220481, 1.68969, 1, 0
1, 75, 4, 17, 3, 10, 0, 4.08462, 0.204729, 1.77122, 1, 0
1, 76, 4, 17, 3, 10, 0, 4.03428, 0.195992, 1.77108, 1, 0
1, 77, 4, 23, 5, 14, 0, 2.64076, 0.231304, 1.69102, 1, 0
1, 78, 4, 12, 1, 7, 0, 0.2405, 0.325861, 1.652, 1, 0
1, 79, 5, 15, 1, 9, 0, 3.499, 0.225377, 1.6136, 1, 0
1, 80, 7, 32, 5, 20, 0, 1.72665, 0.285116, 1.65128, 1, 0
1, 81, 7, 32, 5, 20, 0, 1.70484, 0.281583, 1.6511, 1, 0
1, 82, 10, 48, 7, 31, 0, 1.33227, 0.258112, 1.63334, 0, 0
1, 83, 28, 114, 0, 86, 0, 1.8137, 0.531461, -0.191235, 1, 0
1, 84, 33, 127, 0, 94, 0, 1.52959, 0.728944, -0.190457, 1, 0
1, 85, 14, 57, 0, 43, 0, 0.724615, 0.555767, -0.188069, 1, 0
1, 86, 16, 64, 0, 48, 0, 1.18059, 0.502961, -0.188618, 1, 0
1, 87, 16, 64, 0, 48, 0, 0.791144, 0.691645, -0.188614, 1, 0
1, 88, 13, 52, 0, 39, 0, 0.745466, 0.588316, -0.188046, 1, 0
1, 89, 14, 57, 0, 43, 0, 0.826768, 0.496542, -0.187815, 1, 0
1, 90, 12, 48, 0, 36, 0, 0.853845, 0.561796, -0.189347, 1, 0
1, 91, 13, 52, 0, 39, 0, 0.644789, 0.672459, -0.188104, 1, 0
1, 92, 9, 35, 0, 26, 0, 0.462471, 0.794647, -0.180429, 1, 0
1, 93, 8, 31, 0, 23, 0, 0.48147, 0.589036, -0.177484, 1, 0
1, 94, 50, 180, 0, 130, 0, 0.943042, 0.608132, -0.191678, 1, 0
1, 95, 49, 180, 0, 131, 0, 1.32583, 0.599179, -0.191713, 1, 0
1, 96, 49, 178, 0, 129, 0, 0.895407, 0.619103, -0.191451, 1, 0
1, 97, 50, 176, 0, 126, 0, 1.52526, 0.643371, -0.191525, 1, 0
1, 98, 47, 172, 0, 125, 0, 0.860675, 0.630447, -0.191568, 1, 0
1, 99, 47, 171, 0, 124, 0, 0.870375, 0.622594, -0.191536, 1, 0
1, 100, 50, 179, 0, 129, 0, 0.806533, 0.615637, -0.191694, 1, 0
1, 101, 50, 179, 0, 129, 0, 0.882316, 0.610646, -0.191678, 1, 0
1, 102, 51, 180, 0, 129, 0, 1.28595, 0.63555, -0.191741, 0, 0
1, 103, 51, 179, 0, 128, 0, 1.34104, 0.636472, -0.191729, 1, 0
1, 104, 50, 180, 0, 130, 0, 0.961026, 0.607712, -0.191702, 1, 0
1, 105, 51, 178, 0, 127, 0, 3.06152, 0.66373, -0.19157, 1, 0
1, 106, 50, 175, 0, 125, 0, 1.82436, 0.638565, -0.191583, 1, 0
1, 107, 47, 175, 0, 128, 0, 1.77625, 0.581957, -0.191492, 1, 0
1, 108, 27, 81, 0, 54, 0, 3.60313, 4.23165, -0.192388, 1, 0
1, 109, 51, 176, 0, 125, 0, 2.75886, 0.662041, -0.191589, 1, 0
1, 110, 50, 174, 0, 124, 0, 3.05793, 0.657525, -0.191635, 1, 0
1, 111, 46, 169, 0, 123, 0, 0.857285, 0.627761, -0.191751, 1, 0
1, 112, 47, 171, 0, 124, 0, 0.844005, 0.62601, -0.191551, 1, 0
1, 113, 45, 166, 0, 121, 0, 1.11344, 0.640787, -0.191886, 1, 0
1, 114, 45, 166, 0, 121, 0, 0.984696, 0.615506, -0.191886, 1, 0
1, 115, 46, 169, 0, 123, 0, 0.86349, 0.627882, -0.191801, 1, 0
1, 116, 45, 166, 0, 121, 0, 0.941461, 0.629646, -0.191874, 1, 0
1, 117, 42, 158, 0, 116, 0, 0.953139, 0.634714, -0.191717, 1, 0
1, 118, 46, 168, 0, 122, 0, 1.12229, 0.64425, -0.191803, 1, 0
1, 119, 45, 160, 0, 115, 0, 2.07806, 0.664487, -0.191597, 1, 0
1, 120, 45, 160, 0, 115, 0, 2.12831, 0.665283, -0.191618, 1, 0
1, 121, 45, 161, 0, 116, 0, 1.37932, 0.645295, -0.191581, 1, 0
1, 122, 40, 157, 0, 117, 0, 2.86348, 0.584109, -0.191894, 1, 0
1, 123, 42, 158, 0, 116, 0, 0.901314, 0.640234, -0.191673, 1, 0
1, 124, 41, 155, 0, 114, 0, 1.08288, 0.668125, -0.191276, 1, 0
1, 125, 42, 152, 0, 110, 0, 1.87164, 0.681989, -0.191064, 1, 0
1, 126, 41, 155, 0, 114, 0, 1.3642, 0.601923, -0.191283, 1, 0
1, 127, 42, 158, 0, 116, 0, 1.46054, 0.601351, -0.19169, 1, 0
1, 128, 40, 152, 0, 112, 0, 1.23211, 0.598098, -0.191004, 1, 0
1, 129, 41, 153, 0, 112, 0, 1.2085, 0.669601, -0.191335, 1, 0
1, 130, 39, 148, 0, 109, 0, 1.99162, 0.589183, -0.191561, 1, 0
1, 131, 36, 141, 0, 105, 0, 0.889464, 0.638429, -0.190788, 1, 0
1, 132, 36, 143, 0, 107, 0, 2.0156, 0.57712, -0.190568, 1, 0
1, 133, 38, 147, 0, 109, 0, 1.75182, 0.575747, -0.19015, 1, 0
1, 134, 35, 138, 0, 103, 0, 1.09815, 0.624488, -0.190576, 1, 0
1, 135, 35, 138, 0, 103, 0, 1.85269, 0.588712, -0.190663, 1, 0
1, 136, 35, 138, 0, 103, 0, 0.821251, 0.68196, -0.190573, 1, 0
1, 137, 36, 140, 0, 104, 0, 1.63764, 0.595556, -0.190775, 1, 0
1, 138, 33, 133, 0, 100, 0, 0.853444, 0.61316, -0.190509, 1, 0
1, 139, 32, 127, 0, 95, 0, 0.815544, 0.608865, -0.190385, 1, 0
1, 140, 33, 132, 0, 99, 0, 1.20435, 0.710143, -0.190465, 1, 0
1, 141, 31, 124, 0, 93, 0, 1.21202, 0.698534, -0.190574, 1, 0
1, 142, 33, 132, 0, 99, 0, 0.979735, 0.592158, -0.190364, 1, 0
1, 143, 34, 135, 0, 101, 0, 0.951564, 0.693787, -0.191179, 1, 0
1, 144, 33, 132, 0, 99, 0, 1.71203, 0.550855, -0.190418, 1, 0
1, 145, 31, 124, 0, 93, 0, 1.26872, 0.720863, -0.190512, 1, 0
1, 146, 33, 130, 0, 97, 0, 0.903566, 0.701669, -0.190675, 1, 0
1, 147, 33, 127, 0, 94, 0, 1.56749, 0.726276, -0.190463, 1, 0
1, 148, 2, 26, 5, 19, 0, 1.82225, 0.0717504, 1.29097, 0, 0
1, 149, 17, 79, 3, 59, 0, 3.46235, 0.327019, -0.880494, 0, 0
1, 150, 7, 26, 6, 13, 0, 0.893092, 0.0953239, -0.497496, 1, 0
1, 151, 3, 16, 1, 12, 0, 3.38325, 0.0561651, -0.490345, 1, 0
1, 152, 11, 68, 4, 53, 0, 2.49132, 0.101074, 0.397098, 1, 0
1, 153, 11, 76, 6, 59, 0, 3.20673, 0.101179, 0.402337, 1, 0
1, 154, 11, 35, 1, 23, 0, 2.2481, 0.124208, 0.404356, 1, 0
1, 155, 14, 43, 1, 28, 0, 3.63071, 0.121869, 0.405656, 1, 0
1, 156, 13, 40, 1, 26, 0, 3.32032, 0.117403, 0.414845, 1, 0
1, 157, 13, 45, 0, 32, 0, 4.9104, 0.115058, 0.410442, 1, 0
1, 158, 14, 62, 2, 46, 0, 3.37835, 0.109334, 0.401534, 1, 0
1, 159, 11, 50, 13, 26, 0, 2.25201, 0.866822, -1.44785, 0, 0
1, 160, 7, 34, 9, 18, 0, 1.65724, 0.33601, -1.45458, 1, 0
1, 161, 8, 40, 11, 21, 0, 1.48066, 0.336059, -1.43328, 1, 0
1, 162, 6, 26, 6, 14, 0, 3.73431, 0.328544, -1.48293, 1, 0
1, 163, 7, 26, 4, 15, 0, 4.85637, 0.617914, -1.44135, 1, 0
1, 164, 4, 15, 3, 8, 0, 2.00825, 0.564121, -1.54633, 1, 0
1, 165, 14, 39, 0, 25, 0, 3.47781, 0.145225, 0.418125, 1, 0
1, 166, 14, 41, 1, 26, 0, 3.63038, 0.149216, 0.409895, 1, 0
1, 167, 14, 40, 1, 25, 0, 2.51846, 0.124408, 0.410641, 1, 0
