# format: x, y, z, (trackId)+
411.841, -51.2246, 1119.91, 6533
412.335, -46.7511, 133.941, 583
413.618, -33.7212, 1308.61, 540
413.7, -32.5489, 1272.24, 540
414.472, -21.2919, 431.668, 728
414.622, -16.9936, 18.4882, 6762
414.852, 10.4189, 138.437, 711
414.517, 19.9896, 362.055, 2186
414.272, 24.3719, 863.907, 730
412.46, 45.5587, 1480.33, 6942
411.163, 56.0537, 346.775, 1253
382.69, 160.537, 1060.93, 156
361.939, 203.029, 535.525, 689
328.53, 253.512, 435.294, 191
254.367, 327.862, 1587.52, 7779
250.004, 331.283, 1070.18, 8694
244.693, 335.142, 208.832, 4719
248.595, 332.307, 125.101, 406
228.368, 346.499, 724.777, 665
230.903, 344.789, 711.082, 665
220.742, 351.38, 40.159, 5242
215.45, 354.687, 454.114, 421
209.699, 358.087, 419.461, 3191
179.282, 374.246, 252.765, 2959
163.551, 381.415, 651.545, 9072
161.702, 382.22, 1190.61, 167
158.296, 383.596, 194.338, 4030
156.558, 384.298, 425.763, 4718
156.852, 384.179, 396.911, 4719
44.2326, 412.599, 93.2902, 635
32.2601, 413.72, 1272.34, 8624
22.6755, 414.39, 1281.99, 8624
13.2398, 414.753, 109.025, 1561
-1.16192, 414.962, 1305.11, 8624
4.83395, 414.962, 471.047, 289
-18.9519, 414.554, 1324.92, 8624
-10.6506, 414.844, 17.198, 1153
-30.038, 413.875, 43.6729, 628
-38.7314, 413.177, 1343.31, 8624
-48.6435, 412.136, 1357.35, 8624
-161.868, 382.165, 63.4335, 568
-163.651, 381.371, 1151.65, 7101
-168.79, 379.083, 603.299, 7494
-181.973, 372.934, 1596.07, 3455
-194.303, 366.661, 1615.31, 7567
-193.019, 367.344, 453.468, 721
-208.462, 358.802, 1406.47, 6051
-203.608, 361.604, 342.752, 559
-209.425, 358.246, 1044.99, 8517
-230.99, 344.73, 1416.46, 420
-233.597, 342.972, 583.567, 591
-243.375, 336.099, 1194.66, 691
-252.681, 329.179, 490.515, 692
-327.039, 255.42, 119.285, 178
-331.071, 250.26, 569.234, 438
-330.916, 250.457, 137.646, 480
-339.138, 239.194, 1019.54, 750
-336.243, 243.178, 1018.12, 750
-342, 235.038, 1019.27, 750
-342.653, 234.07, 695.959, 352
-343.63, 232.622, 457.896, 726
-351.851, 219.988, 684.368, 352
-353.356, 217.579, 640.604, 171
-365.664, 196.178, 1431.67, 8521
-369.53, 188.908, 480.506, 716
-372.204, 183.469, 172.914, 290
-376.492, 174.608, 605.612, 453
-377.302, 172.79, 51.4073, 5014
-379.298, 168.307, 683.652, 7099
-377.886, 171.479, 522.23, 3474
-381.007, 164.467, 920.067, 741
-382.19, 161.774, 1133.01, 712
-382.229, 161.679, 824.736, 412
-414.395, 22.6038, 104.363, 622
-414.85, 10.4724, 151.979, 3082
-414.644, 16.3725, 4.1081, 1436
-414.962, -3.75585, 145.397, 3082
-414.962, 1.20325, 320.097, 3082
-414.962, 4.107, 81.1554, 133
-414.962, 2.55297, 268.405, 506
-414.698, -14.8317, 309.16, 3082
-414.839, -10.7726, 543.413, 733
-413.992, -28.3676, 136.843, 3082
-413.776, -31.4609, 961.46, 6051
-414.134, -26.343, 1014.78, 6540
-413.793, -31.2148, 1134.33, 5015
-411.481, -53.7891, 130.182, 3082
-411.294, -55.122, 408.787, 674
-383.29, -159.052, 992.315, 1142
-382.811, -160.239, 64.5124, 598
-380.062, -166.591, 620.308, 6014
-370.701, -186.551, 1010.11, 687
-367.9, -191.974, 391.565, 586
-362.407, -202.218, 826.247, 419
-360.27, -205.919, 446.251, 759
-352.684, -218.655, 59.5485, 2023
-350.682, -221.86, 100.386, 3083
-347.466, -226.934, 663.084, 4717
-343.04, -233.496, 28.492, 625
-334.877, -245.058, 1273.98, 8437
-327.298, -255.089, 212.544, 758
-247.152, -333.355, 1501.18, 7456
-240.013, -338.542, 1238.19, 7559
-239.576, -338.86, 810.788, 647
-234.331, -342.477, 1514.28, 7456
-235.038, -342, 833.827, 647
-235.038, -342, 825.463, 647
-215.238, -354.819, 1527.51, 7456
-216.223, -354.204, 663.648, 719
-205.911, -360.274, 1535.44, 7456
-208.605, -358.719, 305.842, 658
-194.021, -366.811, 151.662, 486
-177.368, -375.18, 396.144, 590
-155.655, -384.663, 327.061, 655
-39.0872, -413.14, 742.763, 727
-32.4513, -413.707, 339.497, 702
-32.9593, -413.671, 31.1618, 68
-27.4966, -414.053, 399.449, 432
-20.1753, -414.511, 1288.85, 1142
-17.556, -414.602, 1420.35, 1142
-17.0996, -414.618, 1390.19, 3083
-17.556, -414.602, 1342.81, 1142
-17.556, -414.602, 1327.97, 1142
-10.5899, -414.846, 612.906, 1142
-12.9793, -414.762, 501.833, 1142
-10.9122, -414.834, 587.569, 1142
-11.2905, -414.821, 549.822, 1142
-4.87797, -414.962, 1388.34, 3083
-7.5, -414.962, 522.931, 1142
24.8329, -414.239, 566.363, 711
30.6166, -413.835, 314.685, 2730
25.3701, -414.202, 97.714, 560
37.7605, -413.279, 359.44, 2730
45.0106, -412.517, 978.914, 162
49.4068, -412.055, 819.463, 761
47.4226, -412.264, 994.769, 162
50.4157, -411.955, 1215.04, 3083
169.565, -378.738, 668.361, 3083
177.965, -374.889, 331.76, 3083
186.024, -370.958, 1190.62, 2730
185.949, -370.995, 297.026, 578
183.145, -372.362, 1265.07, 7152
187.628, -370.176, 1212.27, 2730
190.191, -368.848, 1242.59, 2730
188.699, -369.641, 1279.5, 2730
196.509, -365.488, 1255.46, 2730
196.509, -365.488, 542.453, 2182
202.871, -362.03, 409.242, 2182
204.028, -361.362, 1098.74, 8133
202.917, -362.003, 575.453, 2182
202.662, -362.15, 528.939, 2182
200.986, -363.118, 487.453, 2182
200.986, -363.118, 462.523, 2182
200.986, -363.118, 438.321, 2182
207.528, -359.341, 662.576, 620
224.496, -349.034, 1164.74, 7496
228.274, -346.563, 460.597, 2895
240.435, -338.236, 30.4985, 60
245.777, -334.354, 330.602, 1252
250.057, -331.229, 1130.66, 3354
346.579, -228.25, 4.56045, 2463
350.129, -222.744, 548.673, 775
351.124, -221.152, 276.966, 431
361.242, -204.236, 86.1378, 192
362.313, -202.381, 51.6426, 192
376.301, -175.038, 691.902, 553
383.391, -158.804, 364.642, 541
412.949, -40.8997, -492.143, 1432
412.69, -43.3667, -236.074, 582
414.046, -27.5936, -1043.68, 7925
414.522, -19.8433, -515.263, 1432
414.869, -9.92954, -528.538, 1432
414.483, -20.9821, -1549.13, 6337
414.925, -8.31612, -17.1646, 6760
414.962, -6.97621, -738.708, 1524
414.052, 27.5112, -503.7, 575
414.374, 22.9128, -132.272, 4757
412.347, 46.6318, -508.671, 490
411.321, 54.928, -93.7078, 4756
381.958, 162.332, -762.991, 464
379.42, 168.032, -732.997, 1432
377.878, 171.497, -597.607, 531
371.65, 184.605, -754.474, 1432
364.389, 198.577, -771.22, 1432
369.689, 188.609, -430.027, 519
368.801, 190.278, -583.323, 297
365.109, 197.223, -1032.17, 756
363.351, 200.528, -803.796, 1432
359.429, 207.376, -787.368, 1432
355.383, 214.335, -793.889, 1432
355.497, 214.153, -477.481, 912
354.431, 215.86, -192.238, 38
351.658, 220.297, -528.718, 212
343.951, 232.145, -821.21, 1432
343.493, 232.824, -1288.36, 4829
330.095, 251.508, -846.297, 1432
328.008, 254.18, -1240.52, 4030
250.579, 330.821, -1327.3, 4159
239.736, 338.743, -41.219, 525
227.983, 346.759, -1197.61, 397
230.903, 344.789, -1172.39, 397
200.732, 363.243, -47.4762, 616
184.93, 371.491, -128.96, 497
165.733, 380.444, -602.849, 203
43.8432, 412.64, -160.974, 656
48.0187, 412.201, -672.943, 7826
27.4291, 414.058, -154.532, 656
15.6789, 414.668, -938.199, 4030
3.61804, 414.962, -349.466, 1154
-2.9736, 414.962, -609.615, 743
-7.34355, 414.959, -514.208, 746
-22.1554, 414.427, -603.165, 498
-23.7167, 414.317, -558.763, 600
-24.9382, 414.232, -164.753, 573
-42.4006, 412.792, -1128.52, 4167
-52.6674, 411.639, -246.576, 601
-165.063, 380.742, -838.765, 697
-171.034, 378.084, -822.472, 697
-193.999, 366.823, -33.0964, 3812
-216.344, 354.128, -1517.25, 4054
-240.772, 337.991, -505.445, 4812
-348.741, 224.966, -507.47, 648
-365.833, 195.86, -1428.43, 4608
-364.566, 198.245, -385.895, 617
-372.776, 182.297, -613.704, 6179
-375.637, 176.43, -1529.41, 576
-376.711, 174.117, -1512.18, 576
-383.291, 159.05, -303.172, 610
-412.658, 43.6731, -4.96244, 6051
-412.848, 41.8668, -393.28, 550
-413.514, 35.204, -1371.85, 6051
-414.249, 24.7016, -255.491, 561
-414.962, 6.56621, -419.971, 200
-414.962, -6.06367, -1058.68, 233
-414.556, -18.8813, -786.68, 6051
-382.529, -160.936, -33.9935, 651
-376.27, -175.133, -404.977, 1677
-372.524, -182.813, -577.186, 462
-364.341, -198.667, -378.935, 436
-327.444, -254.901, -121.909, 322
-228.521, -346.396, -615.992, 315
-224.279, -349.17, -404.393, 9068
-215.042, -354.941, -123.109, 754
-197.204, -365.119, -1478.62, 4136
-191.562, -368.119, -1279.26, 511
-187.628, -370.176, -1292.39, 511
-158.012, -383.711, -470.102, 9071
-159.81, -382.984, -249.966, 659
-49.4187, -412.054, -1350.82, 4808
-42.9349, -412.736, -346.211, 9072
-36.1075, -413.451, -446.958, 567
2.60794, -414.962, -1597.07, 6336
16.7276, -414.631, -885.244, 536
20.5939, -414.496, -1620.45, 6336
24.499, -414.263, -641.858, 654
35.9815, -413.466, -53.7577, 764
48.3285, -412.169, -254.143, 530
57.1762, -411.005, -889.655, 5523
160.271, -382.798, -1558.07, 737
161.914, -382.144, -664.467, 4351
163.584, -381.401, -1495.17, 6292
165.707, -380.456, -1327.81, 4050
173.751, -376.874, -604.224, 400
181.434, -373.197, -395.627, 427
204.992, -360.805, -1565.94, 6659
205.31, -360.622, -328.191, 549
221.838, -350.695, -1567.03, 6665
234.595, -342.299, -682.026, 562
237.293, -340.479, -356.031, 371
239.155, -339.165, -518.234, 2182
239.155, -339.165, -475.944, 2182
243.856, -335.75, -460.191, 2182
243.178, -336.243, -624.953, 2182
243.178, -336.243, -580.953, 2182
243.178, -336.243, -544.949, 2182
254.1, -328.07, -1524.43, 405
253.349, -328.657, -1495.44, 405
329.043, -252.855, -996.658, 1249
348.208, -225.818, -1433.2, 4355
350.378, -222.345, -881.206, 361
352.705, -218.621, -224.026, 6629
352.714, -218.608, -415.905, 471
355.566, -214.067, -508.5, 479
356.429, -212.572, -306.84, 491
369.37, -189.209, -653.455, 328
371.024, -185.888, -68.4446, 638
372.362, -183.145, -663.359, 328
380.959, -164.576, -85.1611, 912
377.588, -172.148, -376.113, 1547
378.665, -169.728, -723.855, 424
413.107, -71.4467, 1425.52, 7499
