#format: eventNumber, prototrackIndex, nMeasurements, nStates, nOutliers, nHoles, nSharedHits, chi2PerNDF, pT, eta, duplicate, fake
8, 0, 20, 82, 0, 62, 0, 1.75655, 0.477401, -0.387703, 1, 0
8, 1, 12, 48, 0, 36, 0, 2.26415, 0.422114, -0.392892, 1, 0
8, 2, 11, 44, 0, 33, 0, 2.21871, 0.415246, -0.380606, 1, 0
8, 3, 6, 22, 0, 16, 0, 1.59116, 0.41158, -0.399726, 1, 0
8, 4, 47, 183, 9, 127, 0, 2.57255, 0.183202, 0.0724021, 1, 0
8, 5, 29, 84, 2, 53, 0, 3.2197, 0.150367, 0.0742723, 1, 0
8, 6, 29, 84, 2, 53, 0, 3.99173, 0.145363, 0.0739404, 1, 0
8, 7, 49, 182, 8, 125, 0, 2.58256, 0.18184, 0.0722879, 1, 0
8, 8, 50, 184, 8, 126, 0, 2.92898, 0.181836, 0.0725631, 1, 0
8, 9, 50, 184, 9, 125, 0, 1.15747, 0.182353, 0.0725615, 0, 0
8, 10, 28, 82, 2, 52, 0, 3.79601, 0.148233, 0.0739303, 1, 0
8, 11, 24, 73, 3, 46, 0, 3.35523, 0.147064, 0.0757559, 1, 0
8, 12, 46, 176, 9, 121, 0, 1.24214, 0.183027, 0.0720481, 1, 0
8, 13, 21, 105, 6, 78, 0, 2.36727, 0.47269, -0.873781, 1, 0
8, 14, 21, 114, 8, 85, 0, 2.14206, 0.480596, -0.872406, 1, 0
8, 15, 20, 105, 6, 79, 0, 2.3601, 0.461431, -0.873541, 1, 0
8, 16, 20, 105, 6, 79, 0, 2.34573, 0.492974, -0.873586, 1, 0
8, 17, 19, 101, 6, 76, 0, 2.43426, 0.503204, -0.873473, 1, 0
8, 18, 18, 97, 5, 74, 0, 3.01312, 0.468411, -0.870843, 1, 0
8, 19, 18, 97, 5, 74, 0, 3.39103, 0.410016, -0.870762, 1, 0
8, 20, 15, 93, 7, 71, 0, 1.95801, 0.505615, -0.877298, 1, 0
8, 21, 14, 84, 7, 63, 0, 2.35421, 0.442028, -0.877285, 1, 0
8, 22, 31, 150, 10, 109, 0, 1.93481, 0.468172, -0.876479, 1, 0
8, 23, 31, 150, 10, 109, 0, 1.91258, 0.468329, -0.876444, 1, 0
8, 24, 30, 149, 11, 108, 0, 1.73377, 0.461981, -0.876899, 1, 0
8, 25, 31, 153, 11, 111, 0, 1.71848, 0.45994, -0.87705, 1, 0
8, 26, 34, 147, 7, 106, 0, 2.71408, 0.480062, -0.874034, 1, 0
8, 27, 28, 141, 10, 103, 0, 1.59315, 0.472204, -0.876303, 1, 0
8, 28, 28, 142, 10, 104, 0, 1.6262, 0.461753, -0.876242, 1, 0
8, 29, 28, 142, 10, 104, 0, 1.63577, 0.461103, -0.876239, 1, 0
8, 30, 31, 144, 8, 105, 0, 2.41357, 0.468594, -0.873849, 1, 0
8, 31, 28, 139, 9, 102, 0, 1.93151, 0.477189, -0.875242, 1, 0
8, 32, 28, 139, 9, 102, 0, 1.91945, 0.479862, -0.875203, 1, 0
8, 33, 27, 142, 11, 104, 0, 1.37572, 0.459419, -0.876716, 1, 0
8, 34, 27, 142, 11, 104, 0, 1.40422, 0.458999, -0.876763, 1, 0
8, 35, 25, 131, 10, 96, 0, 1.67411, 0.464277, -0.87597, 1, 0
8, 36, 28, 138, 9, 101, 0, 1.92295, 0.48056, -0.875205, 1, 0
8, 37, 27, 134, 9, 98, 0, 2.04054, 0.450174, -0.874569, 1, 0
8, 38, 24, 131, 11, 96, 0, 1.79754, 0.443151, -0.876507, 1, 0
8, 39, 23, 128, 10, 95, 0, 1.77002, 0.439287, -0.875809, 1, 0
8, 40, 48, 182, 9, 125, 0, 2.6927, 1.02895, 0.301908, 0, 0
8, 41, 48, 182, 9, 125, 0, 4.05606, 1.44855, 0.301987, 1, 0
8, 42, 46, 171, 5, 120, 0, 2.58949, 1.28724, 0.301712, 1, 0
8, 43, 11, 40, 5, 24, 0, 4.73645, 0.432397, 0.260464, 1, 0
8, 44, 28, 115, 7, 80, 0, 2.85653, 0.157979, 0.0732635, 1, 0
8, 45, 45, 172, 9, 118, 0, 1.49207, 0.182271, 0.0728038, 1, 0
8, 46, 45, 170, 8, 117, 0, 1.43238, 0.181158, 0.0723182, 1, 0
