# format: trackId, is-primary, nHits, pt, eta, pdg, q
0, 1, 0, 0.13872, 3.94366, 2212, 3.000000
1, 1, 0, 0.317257, 1.30937, 2112, 0.000000
2, 1, 0, 0.144339, 3.93366, 2212, 3.000000
3, 1, 0, 1.38766, 0.296431, 2112, 0.000000
4, 1, 19, 0.913963, 1.78131, 2212, 3.000000
5, 1, 0, 0.28228, 3.06094, 2212, 3.000000
6, 1, 0, 0.115422, 4.41334, 2112, 0.000000
7, 1, 0, 0.445239, 2.84401, 2212, 3.000000
8, 1, 9, 0.434927, -1.97954, 2212, 3.000000
9, 1, 0, 0.344416, -0.0201446, 2212, 3.000000
10, 1, 0, 0.18764, 3.7136, 2212, 3.000000
11, 1, 0, 0.498699, 0.700882, 2112, 0.000000
12, 1, 0, 0.216147, 3.60692, 2212, 3.000000
13, 1, 0, 0.0820508, 4.19936, 2212, 3.000000
14, 1, 0, 0.162145, 1.37361, 2112, 0.000000
15, 1, 0, 0.411512, 2.55183, 2112, 0.000000
16, 1, 0, 1.06859, -0.683793, 2112, 0.000000
17, 1, 0, 0.21102, 3.47084, 2212, 3.000000
18, 1, 0, 0.581523, 0.136453, 2112, 0.000000
19, 1, 55, 1.19106, 0.458589, 2212, 3.000000
20, 1, 0, 0.282863, 3.24062, 2212, 3.000000
21, 1, 0, 0.219406, 2.80163, 2212, 3.000000
22, 1, 0, 0.630141, 2.01577, 2112, 0.000000
23, 1, 0, 0.0388937, 5.14652, 2212, 3.000000
24, 1, 0, 0.330744, 3.21388, 2112, 0.000000
25, 1, 0, 0.388595, 2.75188, 2112, 0.000000
26, 1, 44, 0.340685, -0.547449, 2212, 3.000000
27, 1, 0, 0.346175, 2.33125, 2212, 3.000000
28, 1, 0, 0.326679, 3.02421, 2212, 3.000000
29, 1, 49, 0.39136, 0.17659, 2212, 3.000000
30, 1, 0, 0.0830511, 4.51402, 2212, 3.000000
31, 1, 14, 0.594776, 1.87787, 2212, 3.000000
32, 1, 0, 0.279783, 2.19007, 2112, 0.000000
33, 1, 17, 1.19404, 1.78778, 2212, 3.000000
34, 1, 0, 0.114219, 4.09098, 2212, 3.000000
35, 1, 0, 0.0758873, 4.27449, 2212, 3.000000
36, 1, 0, 0.887154, -0.795703, 2112, 0.000000
37, 1, 0, 0.191521, 3.49583, 2212, 3.000000
38, 1, 25, 0.757627, 1.71364, 2212, 3.000000
39, 1, 0, 0.736455, -1.31963, 2112, 0.000000
40, 1, 0, 0.157815, 3.87734, 2212, 3.000000
41, 1, 0, 0.423821, 1.02948, 2112, 0.000000
42, 1, 0, 0.11799, 3.80017, 2212, 3.000000
43, 1, 0, 0.374121, 2.81625, 2212, 3.000000
44, 1, 0, 1.27858, 1.42323, 2112, 0.000000
45, 1, 49, 0.970649, 1.33121, 2212, 3.000000
46, 1, 0, 0.38094, 2.15243, 2212, 3.000000
47, 1, 8, 0.346205, -1.98879, 2212, 3.000000
48, 1, 0, 0.933989, 1.12578, 2112, 0.000000
49, 1, 0, 0.224997, 3.39183, 2212, 3.000000
50, 1, 0, 0.212886, -2.64022, 3222, 3.000000
51, 1, 0, 0.184253, 3.92721, 2212, 3.000000
52, 1, 0, 0.0854736, 4.54458, 2212, 3.000000
53, 1, 0, 0.337927, 3.10793, 2212, 3.000000
54, 1, 0, 0.137242, 3.86417, 2212, 3.000000
55, 1, 0, 0.167915, 3.42767, 2212, 3.000000
56, 1, 0, 0.786523, 2.47765, 2112, 0.000000
57, 1, 0, 0.13584, 4.05255, 2212, 3.000000
58, 1, 0, 0.24946, 2.82345, 2212, 3.000000
59, 1, 0, 0.616982, 2.40403, 2112, 0.000000
60, 1, 0, 0.117643, 4.29493, 2212, 3.000000
61, 1, 19, 0.65945, -1.62924, 2212, 3.000000
62, 1, 0, 0.214897, 3.69561, 2212, 3.000000
63, 1, 0, 0.109084, -1.80348, 2112, 0.000000
64, 1, 0, 0.0959944, 4.37159, 2212, 3.000000
65, 1, 0, 0.386083, 2.58959, 2212, 3.000000
66, 1, 0, 1.83204, -0.865669, 2112, 0.000000
67, 1, 0, 0.517645, 2.75986, 2112, 0.000000
68, 1, 0, 0.0161362, 5.83072, 2212, 3.000000
69, 1, 0, 0.161668, 3.59526, 2212, 3.000000
70, 1, 0, 0.504829, -1.06633, 2112, 0.000000
71, 1, 0, 0.70216, 2.15658, 2212, 3.000000
72, 1, 0, 0.0644234, 4.89442, 2212, 3.000000
73, 1, 0, 0.0292526, 5.54102, 2212, 3.000000
74, 1, 0, 0.127421, 4.06679, 2212, 3.000000
75, 1, 0, 0.368912, 3.0238, 2212, 3.000000
76, 1, 0, 0.567383, 0.911814, 2112, 0.000000
77, 1, 0, 0.593813, 2.11877, 2112, 0.000000
78, 1, 0, 1.16363, -0.895395, 2112, 0.000000
79, 1, 0, 0.15977, 3.86764, 2112, 0.000000
80, 1, 0, 1.34032, 0.196092, 2112, 0.000000
81, 1, 52, 0.460934, 0.840079, 2212, 3.000000
82, 1, 0, 0.832318, 2.20874, 2112, 0.000000
83, 1, 0, 0.644099, 2.24696, 2112, 0.000000
84, 1, 0, 0.189484, 3.37227, 2112, 0.000000
85, 1, 0, 0.336235, 2.72041, 2112, 0.000000
86, 1, 0, 0.556864, 2.77673, 2112, 0.000000
87, 1, 0, 0.491571, 0.869632, 2112, 0.000000
88, 1, 0, 0.348291, 3.12174, 2212, 3.000000
89, 1, 0, 0.125889, 3.91345, 2112, 0.000000
90, 1, 0, 0.181365, 3.5968, 2112, 0.000000
91, 1, 0, 0.151499, 3.89051, 2112, 0.000000
92, 1, 0, 0.219318, 3.72248, 2112, 0.000000
93, 1, 0, 0.892847, 1.73011, 2112, 0.000000
94, 1, 0, 0.274154, 3.03275, 2112, 0.000000
95, 1, 0, 0.242144, 3.29977, 2112, 0.000000
96, 1, 0, 0.0355218, 5.03015, 2112, 0.000000
97, 1, 0, 0.135201, 3.95524, 2112, 0.000000
98, 1, 0, 0.796657, 1.83724, 2112, 0.000000
99, 1, 0, 0.183767, 3.50482, 2212, 3.000000
100, 1, 0, 0.236764, 3.65764, 2112, 0.000000
101, 1, 52, 0.743911, 1.13867, 2212, 3.000000
102, 1, 0, 0.95746, -2.15828, 2212, 3.000000
103, 1, 0, 0.146068, 3.96214, 2112, 0.000000
104, 1, 0, 0.264608, 3.14886, 2112, 0.000000
105, 1, 0, 0.232865, 3.47293, 2212, 3.000000
106, 1, 0, 0.381519, 0.272605, 2112, 0.000000
107, 1, 0, 0.19376, 3.59054, 2112, 0.000000
108, 1, 0, 0.494961, 2.17068, 2212, 3.000000
109, 1, 0, 0.293413, 3.11504, 2112, 0.000000
110, 1, 0, 0.392895, 2.7616, 2112, 0.000000
111, 1, 0, 0.403188, 2.78851, 2212, 3.000000
112, 1, 0, 0.976045, 1.14645, 2112, 0.000000
113, 1, 0, 0.122015, 4.1573, 2112, 0.000000
114, 1, 0, 0.0407259, 4.49373, 2212, 3.000000
115, 1, 0, 0.141724, 3.88134, 2112, 0.000000
116, 1, 43, 0.438531, -1.35417, 2212, 3.000000
117, 1, 53, 0.356953, -0.363843, 2212, 3.000000
118, 1, 0, 0.142893, 4.0512, 2112, 0.000000
119, 1, 0, 1.29098, -0.905101, 3112, -3.000000
120, 1, 54, 0.497581, -0.192073, 2212, 3.000000
121, 1, 0, 0.283573, 3.05911, 2112, 0.000000
122, 1, 0, 1.45645, -1.11311, 2112, 0.000000
123, 1, 0, 0.162725, 3.60625, 2112, 0.000000
124, 1, 48, 0.471437, 0.604016, 2212, 3.000000
125, 1, 0, 0.097546, 4.30628, 2112, 0.000000
126, 1, 0, 0.15584, 1.67157, 3122, 0.000000
127, 1, 0, 0.101033, 3.8046, 2112, 0.000000
128, 1, 0, 0.22866, 3.43943, 2112, 0.000000
129, 1, 0, 0.227719, 3.64098, 2112, 0.000000
130, 1, 0, 0.477195, 3.032, 2212, 3.000000
131, 1, 0, 1.07779, 2.12808, 2112, 0.000000
132, 1, 0, 0.141879, 3.96191, 2112, 0.000000
133, 1, 0, 0.309075, -2.58993, 2112, 0.000000
134, 1, 0, 0.466657, 1.91874, 3122, 0.000000
135, 1, 0, 0.187589, 3.50284, 2212, 3.000000
136, 1, 0, 0.561465, 2.5835, 2112, 0.000000
137, 1, 0, 0.123708, 4.34435, 2112, 0.000000
138, 1, 0, 0.369105, 2.9301, 2112, 0.000000
139, 1, 0, 0.0779597, 4.53152, 2112, 0.000000
140, 1, 0, 0.583694, 2.14931, 2112, 0.000000
141, 1, 0, 0.0777891, 4.3268, 2112, 0.000000
142, 1, 0, 0.179241, -1.14621, 2112, 0.000000
143, 1, 0, 0.299604, 2.46653, 2212, 3.000000
144, 1, 0, 0.0955991, 4.21266, 2112, 0.000000
145, 1, 0, 0.788448, 1.49416, 2112, 0.000000
146, 1, 0, 0.192187, 3.73874, 2112, 0.000000
147, 1, 0, 1.15588, 1.02962, 2112, 0.000000
148, 1, 0, 0.376401, 2.52987, 2212, 3.000000
149, 1, 0, 0.224419, 3.28488, 2112, 0.000000
150, 1, 52, 0.543499, 0.983255, 2212, 3.000000
151, 1, 16, 0.184513, 1.85954, 2212, 3.000000
152, 1, 53, 0.359751, 0.916186, 2212, 3.000000
153, 1, 22, 0.542729, 1.81606, 2212, 3.000000
154, 1, 0, 0.452681, 2.92392, 2112, 0.000000
155, 1, 0, 0.37112, 2.55533, 2112, 0.000000
156, 1, 0, 0.12164, 4.06183, 2112, 0.000000
157, 1, 0, 0.318347, 3.0688, 2112, 0.000000
158, 1, 0, 0.102457, 4.34643, 2112, 0.000000
159, 1, 0, 0.587017, 2.76313, 2112, 0.000000
160, 1, 0, 0.850746, -0.694266, 2112, 0.000000
161, 1, 0, 0.32774, 1.74643, 3112, -3.000000
162, 1, 0, 0.333578, 2.94287, 2112, 0.000000
163, 1, 0, 0.0807975, 3.83931, 2112, 0.000000
164, 1, 0, 0.50196, 0.390678, 2112, 0.000000
165, 1, 0, 0.610059, 2.14695, 2112, 0.000000
166, 1, 0, 0.143465, -2.77549, 2212, 3.000000
167, 1, 0, 0.152318, 3.94287, 2112, 0.000000
168, 1, 0, 0.243675, 3.218, 2112, 0.000000
169, 1, 0, 0.453171, 3.22951, 2112, 0.000000
170, 1, 0, 0.29794, 3.01529, 2112, 0.000000
171, 1, 0, 0.395943, 3.32874, 2112, 0.000000
172, 1, 0, 0.79004, 2.12611, 2112, 0.000000
173, 1, 0, 0.160305, 3.7291, 2112, 0.000000
174, 1, 0, 0.274912, 3.43359, 2212, 3.000000
175, 1, 0, 0.412772, -0.0167485, 2212, 3.000000
176, 1, 0, 0.0491661, 4.82288, 2112, 0.000000
177, 1, 60, 1.64246, 1.09162, 2212, 3.000000
178, 1, 0, 0.704005, 0.682047, 2112, 0.000000
179, 1, 0, 0.306246, 1.34644, 2112, 0.000000
180, 1, 40, 0.797703, 1.3807, 2212, 3.000000
181, 1, 0, 0.54401, -0.404706, 2112, 0.000000
182, 1, 0, 0.456079, 3.0431, 2112, 0.000000
183, 1, 0, 0.128643, 3.6987, 2212, 3.000000
184, 1, 0, 0.713349, 1.18943, 2112, 0.000000
185, 1, 0, 0.261713, 3.25055, 2112, 0.000000
186, 1, 0, 0.14429, 4.11884, 2112, 0.000000
187, 1, 0, 0.211996, 3.52508, 2112, 0.000000
188, 1, 0, 0.102074, 4.33357, 2212, 3.000000
189, 1, 41, 1.31725, 1.38175, 2212, 3.000000
190, 1, 0, 0.45435, 2.66053, 2212, 3.000000
191, 1, 0, 0.170799, 3.60062, 2112, 0.000000
192, 1, 0, 0.466905, -1.14047, 2112, 0.000000
193, 1, 0, 0.172493, 3.72349, 2112, 0.000000
194, 1, 0, 0.205195, 3.42521, 2212, 3.000000
195, 1, 0, 0.221685, 3.45001, 2112, 0.000000
196, 1, 0, 0.0814294, 4.15278, 2112, 0.000000
